"id","conversation","qa_index","category","question","gold","our_answer","no_binding_answer","our_f1_pct","no_binding_f1_pct","delta_pp","our_read_tokens","no_binding_read_tokens","our_stored_tokens","no_binding_stored_tokens","no_binding_finish_reason"
"conv-26:19","conv-26","19","1","What do Melanie's kids like?","dinosaurs, nature","nature","nature, hiking, camping, pottery, painting, clay, dinosaurs","50","100","50","1955","2047","47283","46030","stop"
"conv-26:20","conv-26","20","2","When did Melanie go to the museum?","5 July 2023","5 July 2023","5 July 2023","100","100","0","2002","2031","47283","46030","stop"
"conv-26:21","conv-26","21","2","When did Caroline have a picnic?","The week before 6 July 2023","26 June 2023 to 2 July 2023","26 June 2023 to 2 July 2023","33.33333333333333","33.33333333333333","0","2045","2047","47283","46030","stop"
"conv-26:22","conv-26","22","3","Would Caroline likely have Dr. Seuss books on her bookshelf?","Yes, since she collects classic children's books","unknown","unknown","0","0","0","2033","2047","47283","46030","stop"
"conv-26:23","conv-26","23","1","What books has Melanie read?","""Nothing is Impossible"", ""Charlotte's Web""","Charlotte's Web, Becoming Nicole","Charlotte's Web, a book about a gold coin","50","50","0","2046","2048","47283","46030","stop"
"conv-26:24","conv-26","24","1","What does Melanie do to destress?","Running, pottery","running","running, playing her violin, pottery, painting","50","100","50","2011","2044","47283","46030","stop"
"conv-26:25","conv-26","25","2","When did Caroline go to the LGBTQ conference?","10 July 2023","10 July 2023","10 July 2023","100","100","0","1998","2031","47283","46030","stop"
"conv-26:26","conv-26","26","2","When did Melanie read the book ""nothing is impossible""?","2022","unknown","unknown","0","0","0","2031","2031","47283","46030","stop"
"conv-26:27","conv-26","27","3","Would Caroline pursue writing as a career option?","LIkely no; though she likes reading, she wants to be a counselor","unknown","unknown","0","0","0","1984","2031","47283","46030","stop"
"conv-26:28","conv-26","28","2","When did Caroline go to the adoption meeting?","The friday before 15 July 2023","15 July 2023","15 July 2023","75","75","0","1931","2040","47283","46030","stop"
"conv-26:29","conv-26","29","2","When did Melanie go to the pottery workshop?","The Friday before 15 July 2023","14 July 2023","14 July 2023","50","50","0","2040","2041","47283","46030","stop"
"conv-26:30","conv-26","30","3","Would Melanie be considered a member of the LGBTQ community?","Likely no, she does not refer to herself as part of it","unknown","unknown","0","0","0","1969","2043","47283","46030","stop"
"conv-26:31","conv-26","31","2","When did Melanie go camping in June?","The week before 27 June 2023","June 2023","June 2023","57.14285714285714","57.14285714285714","0","2048","2048","47283","46030","stop"
"conv-26:32","conv-26","32","1","What LGBTQ+ events has Caroline participated in?","Pride parade, school speech, support group","LGBTQ conference, LGBTQ support group, LGBTQ+ pride parade, LGBTQ art show","LGBTQ conference, LGBTQ support group, LGBTQ+ counseling workshop, LGBTQ activist group, LGBTQ art show","53.333333333333336","26.666666666666668","-26.666666666666668","2044","2027","47283","46030","stop"
"conv-26:33","conv-26","33","2","When did Caroline go to a pride parade during the summer?","The week before 3 July 2023","26 June 2023 to 2 July 2023","15 June 2023, 26 June 2023, 13 July 2023, 14 July 2023, 17 July 2023, 20 July 2023, 13 August 2023, 14 August 2023","33.33333333333333","13.793103448275861","-19.54022988505747","2029","2044","47283","46030","stop"
"conv-26:34","conv-26","34","1","What events has Caroline participated in to help children?","Mentoring program, school speech","unknown","unknown","0","0","0","2020","2025","47283","46030","stop"
"conv-26:35","conv-26","35","2","When did Melanie go camping in July?","two weekends before 17 July 2023","2022, 2023","17 July 2023, 6 July 2023, 15 July 2023, 20 July 2023","25","33.33333333333333","8.333333333333332","2048","2048","47283","46030","stop"
"conv-26:36","conv-26","36","2","When did Caroline join a mentorship program?","The weekend before 17 July 2023","Last weekend (relative to 17 July 2023)","Last weekend (relative to 17 July 2023)","66.66666666666666","66.66666666666666","0","1957","2046","47283","46030","stop"
"conv-26:37","conv-26","37","1","What did Melanie paint recently?","sunset","a sunset-inspired painting","a horse","0","0","0","2038","2047","47283","46030","stop"
"conv-26:38","conv-26","38","1","What activities has Melanie done with her family?","Pottery, painting, camping, museum, swimming, hiking","hiking in the mountains, exploring forests, camping trips, playing games, eating good food, hanging out","running, reading, playing violin, camping, hiking, pottery workshop, trail walk, beach outing, volunteering at a homeless shelter","19.444444444444443","44.44444444444444","25","2036","2035","47283","46030","stop"
"conv-26:39","conv-26","39","1","In what ways is Caroline participating in the LGBTQ community?","Joining activist group, going to pride parades, participating in an art show, mentoring program","joined a new LGBTQ activist group, attended an LGBTQ conference, joined a mentorship program for LGBTQ youth, putting together an LGBTQ art show, expressing her trans experience through art, promoting LGBTQ rights, and living authentically","Creating art, joining an LGBTQ activist group, attending an LGBTQ conference, attending an LGBTQ pride parade, attending an LGBTQ support group, volunteering at an LGBTQ+ youth center, and putting together an LGBTQ art show.","36.11111111111111","45.03968253968254","8.928571428571425","2033","2024","47283","46030","stop"
"conv-26:40","conv-26","40","1","How many times has Melanie gone to the beach in 2023?","2","unknown","unknown","0","0","0","2024","2036","47283","46030","stop"
"conv-26:41","conv-26","41","2","When did Caroline join a new activist group?","The Tuesday before 20 July 2023","13 July 2023","20 July 2023","50","75","25","2047","2033","47283","46030","stop"
"conv-26:42","conv-26","42","3","Would Melanie be more interested in going to a national park or a theme park?","National park; she likes the outdoors","unknown","unknown","0","0","0","1971","2031","47283","46030","stop"
"conv-26:43","conv-26","43","1","What kind of art does Caroline make?","abstract art","painting, drawing, pottery","painting, drawing","0","0","0","2039","2037","47283","46030","stop"
"conv-26:44","conv-26","44","2","When is Melanie's daughter's birthday?","13 August","13 August 2023","13 August 2023","80","80","0","2022","2037","47283","46030","stop"
"conv-26:45","conv-26","45","2","When did Caroline attend a pride parade in August?","The Friday before 14 August 2023","Unknown","Unknown","0","0","0","2046","2035","47283","46030","stop"
"conv-26:46","conv-26","46","3","Would Melanie be considered an ally to the transgender community?","Yes, she is supportive","unknown","unknown","0","0","0","2047","2048","47283","46030","stop"
"conv-26:47","conv-26","47","1","Who supports Caroline when she has a negative experience?","Her mentors, family, and friends","Caroline's friends, family, and mentors","friends, family, and people she looked up to","77.77777777777777","66.66666666666666","-11.111111111111105","1977","2034","47283","46030","stop"
"conv-26:48","conv-26","48","1","What types of pottery have Melanie and her kids made?","bowls, cup","pots, a cup with a dog face on it","pots, a cup with a dog face on it","14.285714285714285","14.285714285714285","0","2019","2042","47283","46030","stop"
"conv-26:49","conv-26","49","2","When did Caroline and Melanie go to a pride fesetival together?","2022","2022","2022","100","100","0","2043","2041","47283","46030","stop"
"conv-26:50","conv-26","50","3","What would Caroline's political leaning likely be?","Liberal","Progressive","Liberal","0","100","100","1996","2041","47283","46030","stop"
"conv-26:51","conv-26","51","1","What has Melanie painted?","Horse, sunset, sunrise","lake sunrise 2022, sunset over a lake, sunset with a palm tree, abstract painting with a blue background, sunset-inspired painting October 2023","abstract painting with a blue background, horse on a wooden wall, nature-inspired painting of a sunset with a palm tree, sunset-inspired painting, lake sunrise","33.33333333333333","43.888888888888886","10.555555555555557","1967","2037","47283","46030","stop"
"conv-26:52","conv-26","52","1","What are Melanie's pets' names?","Oliver, Luna, Bailey","Luna, Oliver, Bailey","Luna, Oliver, Bailey","100","100","0","2036","2048","47283","46030","stop"
"conv-26:53","conv-26","53","2","When did Caroline apply to adoption agencies?","The week of 23 August 2023","23 August 2023","23 August, 2023","75","75","0","2003","2044","47283","46030","stop"
"conv-26:54","conv-26","54","2","When did Caroline draw a self-portrait?","The week before 23 August 2023","August 2023 (the preceding week)","August 2023 (the preceding week)","66.66666666666666","66.66666666666666","0","1945","2036","47283","46030","stop"
"conv-26:55","conv-26","55","1","What subject have Caroline and Melanie both painted?","Sunsets","nature","sunset","0","100","100","1979","2046","47283","46030","stop"
"conv-26:56","conv-26","56","1","What symbols are important to Caroline?","Rainbow flag, transgender symbol","rainbow flag, eagle, key","rainbow flag, eagle, key","50","50","0","2040","2048","47283","46030","stop"
"conv-26:57","conv-26","57","2","When did Caroline encounter people on a hike and have a negative experience?","The week before 25 August 2023","August 2023 (the preceding week)","August 2023 (the preceding week)","66.66666666666666","66.66666666666666","0","2043","2048","47283","46030","stop"
"conv-26:58","conv-26","58","2","When did Melanie make a plate in pottery class?","24 August 2023","24 August 2023","24 August 2023","100","100","0","2015","2048","47283","46030","stop"
"conv-26:59","conv-26","59","3","Would Caroline be considered religious?","Somewhat, but not extremely religious","unknown","unknown","0","0","0","2048","2036","47283","46030","stop"
"conv-26:60","conv-26","60","1","What instruments does Melanie play?","clarinet and violin","clarinet","clarinet, violin","66.66666666666666","66.66666666666666","0","2035","2048","47283","46030","stop"
"conv-26:61","conv-26","61","1","What musical artists/bands has Melanie seen?","Summer Sounds, Matt Patterson","Summer Sounds","Summer Sounds, Matt Patterson","50","100","50","2030","2048","47283","46030","stop"
"conv-26:62","conv-26","62","2","When did Melanie go to the park?","27 August 2023","27 August 2023","27 August 2023","100","100","0","2045","2025","47283","46030","stop"
"conv-26:63","conv-26","63","2","When is Caroline's youth center putting on a talent show?","September 2023","next month","next month","0","0","0","1972","2037","47283","46030","stop"
"conv-26:64","conv-26","64","3","Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?","Yes; it's classical music","unknown","unknown","0","0","0","1941","2045","47283","46030","stop"
"conv-26:65","conv-26","65","1","What are some changes Caroline has faced during her transition journey?","Changes to her body, losing unsupportive friends","Some friends leaving, relationships changing, tough times, and the process of finding self-acceptance.","Some friends leaving, relationships changing, and needing to find a supportive community.","33.33333333333333","33.33333333333333","0","2047","2035","47283","46030","stop"
"conv-26:66","conv-26","66","1","What does Melanie do with her family on hikes?","Roast marshmallows, tell stories","explore forests","explores forests","0","0","0","2045","2038","47283","46030","stop"
"conv-26:67","conv-26","67","2","When did Caroline go biking with friends?","The weekend before 13 September 2023","last weekend (relative to 13 September 2023)","13 September 2023","66.66666666666666","75","8.333333333333337","1995","2048","47283","46030","stop"
"conv-26:68","conv-26","68","2","How long has Melanie been practicing art?","Since 2016","Seven years","Seven years","0","0","0","2047","2048","47283","46030","stop"
"conv-26:69","conv-26","69","3","What personality traits might Melanie say Caroline has?","Thoughtful, authentic, driven","Courageous","Courageous","0","0","0","1981","2044","47283","46030","stop"
"conv-26:70","conv-26","70","1","What transgender-specific events has Caroline attended?","Poetry reading, conference","LGBTQ conference, LGBT pride event, transgender poetry reading","transgender poetry reading, transgender conference","73.33333333333334","73.33333333333334","0","2043","2030","47283","46030","stop"
"conv-26:71","conv-26","71","1","What book did Melanie read from Caroline's suggestion?","""Becoming Nicole""","unknown","unknown","0","0","0","2021","2031","47283","46030","stop"
"conv-26:72","conv-26","72","2","When did Melanie's friend adopt a child?","2022","2022","2022","100","100","0","2024","2043","47283","46030","stop"
"conv-26:73","conv-26","73","2","When did Melanie get hurt?","September 2023","September 2023","September 2023","100","100","0","1994","2035","47283","46030","stop"
"conv-26:74","conv-26","74","2","When did Melanie's family go on a roadtrip?","The weekend before 20 October 2023","20 October 2023","this past weekend","75","25","-50","2035","2043","47283","46030","stop"
"conv-26:75","conv-26","75","1","How many children does Melanie have?","3","3","3","100","100","0","1928","2031","47283","46030","stop"
"conv-26:76","conv-26","76","1","When did Melanie go on a hike after the roadtrip?","19 October 2023","19 October 2023","unknown","100","0","-100","2032","2041","47283","46030","stop"
"conv-26:77","conv-26","77","3","Would Melanie go on another roadtrip soon?","Likely no; since this one went badly","unknown","unknown","0","0","0","2015","2029","47283","46030","stop"
"conv-26:78","conv-26","78","1","What items has Melanie bought?","Figurines, shoes","pink sneakers","pink sneakers","0","0","0","2047","2048","47283","46030","stop"
"conv-26:79","conv-26","79","2","When did Caroline pass the adoption interview?","The Friday before 22 October 2023","Last Friday (relative to 22 October 2023)","21 October 2023","66.66666666666666","50","-16.666666666666664","2007","2028","47283","46030","stop"
"conv-26:80","conv-26","80","2","When did Melanie buy the figurines?","21 October 2023","21 October 2023","21 October 2023","100","100","0","2044","2042","47283","46030","stop"
"conv-26:81","conv-26","81","3","Would Caroline want to move back to her home country soon?","No; she's in the process of adopting children.","unknown","unknown","0","0","0","2024","2030","47283","46030","stop"
"conv-26:82","conv-26","82","4","What did the charity race raise awareness for?","mental health","mental health","mental health","100","100","0","2042","2044","47283","46030","stop"
"conv-26:83","conv-26","83","4","What did Melanie realize after the charity race?","self-care is important","self-care is really important","self-care is really important","85.71428571428571","85.71428571428571","0","1940","2026","47283","46030","stop"
"conv-26:84","conv-26","84","4","How does Melanie prioritize self-care?","by carving out some me-time each day for activities like running, reading, or playing the violin","running, reading, playing violin","Running, reading, or playing her violin","42.10526315789473","47.61904761904761","5.513784461152882","1971","2030","47283","46030","stop"
"conv-26:85","conv-26","85","4","What are Caroline's plans for the summer?","researching adoption agencies","Researching adoption agencies, planning a special trip for just the two of them to explore nature, continuing her education, checking out career options, and continuing volunteering at the youth center.","Planning a special trip for just the two of them to explore nature","20.689655172413794","0","-20.689655172413794","2017","2032","47283","46030","stop"
"conv-26:86","conv-26","86","4","What type of individuals does the adoption agency Caroline is considering support?","LGBTQ+ individuals","LGBTQ+ folks","LGBTQ+ folks","50","50","0","1994","2032","47283","46030","stop"
"conv-26:87","conv-26","87","4","Why did Caroline choose the adoption agency?","because of their inclusivity and support for LGBTQ+ individuals","They help LGBTQ+ folks with adoption. Their inclusivity and support really spoke to me.","They help LGBTQ+ folks with adoption.","38.095238095238095","14.285714285714285","-23.809523809523807","1933","2044","47283","46030","stop"
"conv-26:88","conv-26","88","4","What is Caroline excited about in the adoption process?","creating a family for kids who need one","making a family for kids who need one","making a family for kids who need one","85.71428571428571","85.71428571428571","0","1983","2048","47283","46030","stop"
"conv-26:89","conv-26","89","4","What does Melanie think about Caroline's decision to adopt?","she thinks Caroline is doing something amazing and will be an awesome mom","Proud","Supportive, encouraging, and believes Caroline's future family will love having her.","0","19.047619047619047","19.047619047619047","2046","2040","47283","46030","stop"
"conv-26:90","conv-26","90","4","How long have Mel and her husband been married?","Mel and her husband have been married for 5 years.","5 years","5 years","36.36363636363637","36.36363636363637","0","2004","2040","47283","46030","stop"
"conv-26:91","conv-26","91","4","What does Caroline's necklace symbolize?","love, faith, and strength","love, faith and strength","love, faith and strength","100","100","0","1949","2039","47283","46030","stop"
"conv-26:92","conv-26","92","4","What country is Caroline's grandma from?","Sweden","Sweden","Sweden","100","100","0","1941","2043","47283","46030","stop"
"conv-26:93","conv-26","93","4","What was grandma's gift to Caroline?","necklace","necklace with a cross and heart","necklace with a cross and heart","40","40","0","2023","2036","47283","46030","stop"
"conv-26:94","conv-26","94","4","What is Melanie's hand-painted bowl a reminder of?","art and self-expression","unknown","unknown","0","0","0","1983","2048","47283","46030","stop"
"conv-26:95","conv-26","95","4","What did Melanie and her family do while camping?","explored nature, roasted marshmallows, and went on a hike","roasted marshmallows, told stories, hiked, explored nature","roasting marshmallows, telling stories, hiking, exploring forests, trail walk","71.42857142857143","50","-21.42857142857143","2044","2033","47283","46030","stop"
"conv-26:96","conv-26","96","4","What kind of counseling and mental health services is Caroline interested in pursuing?","working with trans people, helping them accept themselves and supporting their mental health","working with trans people, helping them accept themselves and supporting their mental health","working with trans people, helping them accept themselves and supporting their mental health","100","100","0","2000","2047","47283","46030","stop"
"conv-26:97","conv-26","97","4","What workshop did Caroline attend recently?","LGBTQ+ counseling workshop","unknown","LGBTQ+ counseling workshop","0","100","100","2048","2036","47283","46030","stop"
"conv-26:98","conv-26","98","4","What was discussed in the LGBTQ+ counseling workshop?","therapeutic methods and how to best work with trans people","different therapeutic methods and how to best work with trans people","different therapeutic methods and how to best work with trans people","94.73684210526315","94.73684210526315","0","2006","2044","47283","46030","stop"
"conv-26:99","conv-26","99","4","What motivated Caroline to pursue counseling?","her own journey and the support she received, and how counseling improved her life","Her own journey and the support she received, which improved her life and made her realize the importance of having a support system.","Her own struggle with mental health and the helpful support she received.","62.06896551724138","47.61904761904761","-14.449917898193764","2028","2038","47283","46030","stop"
"conv-26:100","conv-26","100","4","What kind of place does Caroline want to create for people?","a safe and inviting place for people to grow","a safe and loving home","A safe, inviting place for people to grow.","20","100","80","1966","2025","47283","46030","stop"
"conv-26:101","conv-26","101","4","Did Melanie make the black and white bowl in the photo?","Yes","Yes","Yes","100","100","0","1940","2044","47283","46030","stop"
"conv-26:102","conv-26","102","4","What kind of books does Caroline have in her library?","kids' books - classics, stories from different cultures, educational books","classics, stories from different cultures, educational books","classics, stories from different cultures, educational books","87.5","87.5","0","1988","2038","47283","46030","stop"
"conv-26:103","conv-26","103","4","What was Melanie's favorite book from her childhood?","""Charlotte's Web""","Charlotte's Web","Charlotte's Web","100","100","0","2014","2025","47283","46030","stop"
"conv-26:104","conv-26","104","4","What book did Caroline recommend to Melanie?","""Becoming Nicole""","""Becoming Nicole"" by Amy Ellis Nutt","""Becoming Nicole"" by Amy Ellis Nutt","50","50","0","1940","2048","47283","46030","stop"
"conv-26:105","conv-26","105","4","What did Caroline take away from the book ""Becoming Nicole""?","Lessons on self-acceptance and finding support","self-acceptance, finding support, hope, love","self-acceptance, finding support, hope, love","60","60","0","2046","2044","47283","46030","stop"
"conv-26:106","conv-26","106","4","What are the new shoes that Melanie got used for?","Running","running","running","100","100","0","2031","2048","47283","46030","stop"
"conv-26:107","conv-26","107","4","What is Melanie's reason for getting into running?","To de-stress and clear her mind","to de-stress","to de-stress","57.14285714285714","57.14285714285714","0","1984","2037","47283","46030","stop"
"conv-26:108","conv-26","108","4","What does Melanie say running has been great for?","Her mental health","her headspace, mental health","her headspace, mental health, destress, clear my mind","85.71428571428571","54.54545454545454","-31.16883116883117","2035","2047","47283","46030","stop"
"conv-26:109","conv-26","109","4","What did Mel and her kids make during the pottery workshop?","pots","pots","pots","100","100","0","2019","2048","47283","46030","stop"
"conv-26:110","conv-26","110","4","What kind of pot did Mel and her kids make with clay?","a cup with a dog face on it","a cup with a dog face on it","a cup with a dog face on it","100","100","0","2019","2046","47283","46030","stop"
"conv-26:111","conv-26","111","4","What creative project do Mel and her kids do together besides pottery?","painting","painting","painting","100","100","0","2046","2047","47283","46030","stop"
"conv-26:112","conv-26","112","4","What did Mel and her kids paint in their latest project in July 2023?","a sunset with a palm tree","a sunset with a palm tree","a sunset with a palm tree","100","100","0","1961","2043","47283","46030","stop"
"conv-26:113","conv-26","113","4","What did Caroline see at the council meeting for adoption?","many people wanting to create loving homes for children in need","so many people wanted to create loving homes for children in need","so many people wanted to create loving homes for children in need","95.65217391304348","95.65217391304348","0","1950","2036","47283","46030","stop"
"conv-26:114","conv-26","114","4","What do sunflowers represent according to Caroline?","warmth and happiness","warmth and happiness","warmth and happiness","100","100","0","1923","2036","47283","46030","stop"
"conv-26:115","conv-26","115","4","Why are flowers important to Melanie?","They remind her to appreciate the small moments and were a part of her wedding decor","They bring joy, represent growth and beauty, and remind her to appreciate the small moments.","They represent growth, beauty and reminding us to appreciate the small moments.","56.00000000000001","52.17391304347826","-3.826086956521746","2005","2046","47283","46030","stop"
"conv-26:116","conv-26","116","4","What inspired Caroline's painting for the art show?","visiting an LGBTQ center and wanting to capture unity and strength","a visit to a LGBTQ center","a LGBTQ center","66.66666666666666","40","-26.66666666666666","2028","2036","47283","46030","stop"
"conv-26:117","conv-26","117","4","How often does Melanie go to the beach with her kids?","once or twice a year","once or twice a year","once or twice a year","100","100","0","2041","2045","47283","46030","stop"
"conv-26:118","conv-26","118","4","What did Melanie and her family see during their camping trip last year?","Perseid meteor shower","Perseid meteor shower","Perseid meteor shower","100","100","0","1986","2033","47283","46030","stop"
"conv-26:119","conv-26","119","4","How did Melanie feel while watching the meteor shower?","in awe of the universe","tiny and in awe of the universe","tiny and in awe of the universe","88.88888888888889","88.88888888888889","0","2005","2048","47283","46030","stop"
"conv-26:120","conv-26","120","4","Whose birthday did Melanie celebrate recently?","Melanie's daughter","Melanie's daughter","her daughter","100","50","-50","2043","2041","47283","46030","stop"
"conv-26:121","conv-26","121","4","Who performed at the concert at Melanie's daughter's birthday?","Matt Patterson","Matt Patterson","Matt Patterson","100","100","0","2028","2047","47283","46030","stop"
"conv-26:122","conv-26","122","4","Why did Melanie choose to use colors and patterns in her pottery project?","She wanted to catch the eye and make people smile.","To catch the eye and make people smile.","To catch the eye and make people smile, and because she is obsessed with those colors and patterns.","85.71428571428571","63.63636363636363","-22.077922077922075","2035","2034","47283","46030","stop"
"conv-26:123","conv-26","123","4","What pet does Caroline have?","guinea pig","Oscar","Oscar","0","0","0","1977","2048","47283","46030","stop"
"conv-26:124","conv-26","124","4","What pets does Melanie have?","Two cats and a dog","Luna, Oliver, Bailey","Luna, Oliver, Bailey","0","0","0","2044","2031","47283","46030","stop"
"conv-26:125","conv-26","125","4","Where did Oliver hide his bone once?","In Melanie's slipper","in her slipper","in her slipper","66.66666666666666","66.66666666666666","0","2011","2047","47283","46030","stop"
"conv-26:126","conv-26","126","4","What activity did Caroline used to do with her dad?","Horseback riding","unknown","horseback riding","0","100","100","1928","2026","47283","46030","stop"
"conv-26:127","conv-26","127","4","What did Caroline make for a local church?","a stained glass window","a stained glass window","a stained glass window","100","100","0","1959","2025","47283","46030","stop"
"conv-26:128","conv-26","128","4","What did Caroline find in her neighborhood during her walk?","a rainbow sidewalk","a cool rainbow sidewalk","a cool rainbow sidewalk for Pride Month","80","50","-30.000000000000004","2037","2047","47283","46030","stop"
"conv-26:129","conv-26","129","4","Which song motivates Caroline to be courageous?","Brave by Sara Bareilles","""Brave"" by Sara Bareilles","""Brave"" by Sara Bareilles","100","100","0","2025","2032","47283","46030","stop"
"conv-26:130","conv-26","130","4","Which  classical musicians does Melanie enjoy listening to?","Bach and Mozart","Bach, Mozart","Bach, Mozart","100","100","0","1949","2047","47283","46030","stop"
"conv-26:131","conv-26","131","4","Who is Melanie a fan of in terms of modern music?","Ed Sheeran","Ed Sheeran","Ed Sheeran","100","100","0","2027","2039","47283","46030","stop"
"conv-26:132","conv-26","132","4","How long has Melanie been creating art?","7 years","Seven years","Seven years","50","50","0","1997","2039","47283","46030","stop"
"conv-26:133","conv-26","133","4","What precautionary sign did Melanie see at the café?","A sign stating that someone is not being able to leave","a sign posted on a door stating that someone is not being able to leave","a sign posted on a door stating that someone is not being able to leave","86.95652173913044","86.95652173913044","0","2037","2025","47283","46030","stop"
"conv-26:134","conv-26","134","4","What advice does Caroline give for getting started with adoption?","Do research, find an adoption agency or lawyer, gather necessary documents, and prepare emotionally.","Do your research and find an adoption agency or lawyer, gather documents like references, financial info and medical checks, and prepare emotionally.","Do your research and find an adoption agency or lawyer, gather documents like references, financial info and medical checks, and prepare emotionally.","73.33333333333333","73.33333333333333","0","2047","2046","47283","46030","stop"
"conv-26:135","conv-26","135","4","What setback did Melanie face in October 2023?","She got hurt and had to take a break from pottery.","Her son got into a car accident during a roadtrip.","car accident","11.76470588235294","0","-11.76470588235294","2006","2030","47283","46030","stop"
"conv-26:136","conv-26","136","4","What does Melanie do to keep herself busy during her pottery break?","Read a book and paint.","reading a book, painting","reading, painting","100","80","-19.999999999999996","2026","2047","47283","46030","stop"
"conv-26:137","conv-26","137","4","What painting did Melanie show to Caroline on October 13, 2023?","A painting inspired by sunsets with a pink sky.","sunset-inspired painting, abstract painting with a blue background","A sunset-inspired painting","28.57142857142857","22.22222222222222","-6.349206349206349","2003","2047","47283","46030","stop"
"conv-26:138","conv-26","138","4","What kind of painting did Caroline share with Melanie on October 13, 2023?","An abstract painting with blue streaks on a wall.","abstract painting with a blue background","abstract","66.66666666666666","25","-41.666666666666664","1997","2048","47283","46030","stop"
"conv-26:139","conv-26","139","4","What was the poetry reading that Caroline attended about?","It was a transgender poetry reading where transgender people shared their stories.","It was a transgender poetry reading where transgender people shared their stories through poetry.","It was a transgender poetry reading where transgender people shared their stories through poetry.","91.66666666666666","91.66666666666666","0","2041","2048","47283","46030","stop"
"conv-26:140","conv-26","140","4","What did the posters at the poetry reading say?","""Trans Lives Matter""","trans lives matter","trans lives matter","100","100","0","2008","2047","47283","46030","stop"
"conv-26:141","conv-26","141","4","What does Caroline's drawing symbolize for her?","Freedom and being true to herself.","freedom, being real, embracing her womanhood","freedom, being real, embracing her womanhood","36.36363636363637","36.36363636363637","0","2038","2028","47283","46030","stop"
"conv-26:142","conv-26","142","4","How do Melanie and Caroline describe their journey through life together?","An ongoing adventure of learning and growing.","learning and exploring","learning and exploring","28.57142857142857","28.57142857142857","0","1954","2048","47283","46030","stop"
"conv-26:143","conv-26","143","4","What happened to Melanie's son on their road trip?","He got into an accident","got into a car accident","got into a car accident","75","75","0","1972","2032","47283","46030","stop"
