id,method,category,question,gold_answer,generated_answer,official_f1,judge_label
LightMem_official/conv-26:7,LightMem_official,1,What is Caroline's relationship status?,Single,Single and focused on adoption.,0.4,CORRECT
Naive/conv-26:8,Naive,2,When did Caroline give a speech at a school?,The week before 9 June 2023,last week,0.28571428571428575,CORRECT
Mem0/conv-26:8,Mem0,2,When did Caroline give a speech at a school?,The week before 9 June 2023,Last week,0.28571428571428575,CORRECT
E-Mem/conv-26:8,E-Mem,2,When did Caroline give a speech at a school?,The week before 9 June 2023,"Between June 2 and June 8, 2023.",0.3636363636363636,CORRECT
s_parent_single_2000/conv-26:8,s_parent_single_2000,2,When did Caroline give a speech at a school?,The week before 9 June 2023,29 May 2023 to 4 June 2023,0.3333333333333333,CORRECT
Naive/conv-26:9,Naive,2,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,last week,0.28571428571428575,CORRECT
Mem0/conv-26:9,Mem0,2,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,Last week,0.28571428571428575,CORRECT
SimpleMem/conv-26:9,SimpleMem,2,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,Last week,0.28571428571428575,CORRECT
HiGMem/conv-26:9,HiGMem,2,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,last week,0.28571428571428575,CORRECT
s_parent_single_2000/conv-26:9,s_parent_single_2000,2,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,29 May 2023 to 4 June 2023,0.3333333333333333,CORRECT
LightMem_official/conv-26:10,LightMem_official,2,How long has Caroline had her current group of friends for?,4 years,Four years since she moved.,0.28571428571428575,CORRECT
Mem0/conv-26:12,Mem0,2,How long ago was Caroline's 18th birthday?,10 years ago,4 years ago,0.6666666666666666,WRONG
s_parent_single_2000/conv-26:12,s_parent_single_2000,2,How long ago was Caroline's 18th birthday?,10 years ago,approximately 2013,0.0,CORRECT
Naive/conv-26:13,Naive,1,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,counseling,0.25,CORRECT
LangMem/conv-26:13,LangMem,1,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,Counseling,0.25,CORRECT
Mem0/conv-26:14,Mem0,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,Probably not.,0.0,CORRECT
LightMem_official/conv-26:14,LightMem_official,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,"No, she credits support for her path.",0.22222222222222224,CORRECT
HiGMem/conv-26:15,HiGMem,1,What activities does Melanie partake in?,"pottery, camping, painting, swimming",pottery,0.25,CORRECT
Naive/conv-26:16,Naive,2,When did Melanie sign up for a pottery class?,2 July 2023,3 July 2023,0.6666666666666666,WRONG
A-MEM/conv-26:16,A-MEM,2,When did Melanie sign up for a pottery class?,2 July 2023,"Yesterday (relative to the conversation on July 3, 2023).",0.36363636363636365,CORRECT
LangMem/conv-26:16,LangMem,2,When did Melanie sign up for a pottery class?,2 July 2023,3 July 2023,0.6666666666666666,WRONG
Naive/conv-26:18,Naive,1,Where has Melanie camped?,"beach, mountains, forest",the mountains,0.3333333333333333,CORRECT
A-MEM/conv-26:18,A-MEM,1,Where has Melanie camped?,"beach, mountains, forest",In the mountains,0.2222222222222222,CORRECT
SimpleMem/conv-26:18,SimpleMem,1,Where has Melanie camped?,"beach, mountains, forest",In the forest.,0.2222222222222222,CORRECT
LightMem_official/conv-26:18,LightMem_official,1,Where has Melanie camped?,"beach, mountains, forest",In the mountains and a forest.,0.3333333333333333,CORRECT
E-Mem/conv-26:18,E-Mem,1,Where has Melanie camped?,"beach, mountains, forest",In the mountains and at the beach.,0.26666666666666666,CORRECT
A-MEM/conv-26:19,A-MEM,1,What do Melanie's kids like?,"dinosaurs, nature",They love nature.,0.25,CORRECT
LangMem/conv-26:19,LangMem,1,What do Melanie's kids like?,"dinosaurs, nature",They like exploring and playing outdoors.,0.0,CORRECT
SimpleMem/conv-26:19,SimpleMem,1,What do Melanie's kids like?,"dinosaurs, nature","They enjoy the Grand Canyon, dinosaur exhibits, pottery workshops, camping, and making clay sculptures.",0.3333333333333333,CORRECT
LightMem_official/conv-26:19,LightMem_official,1,What do Melanie's kids like?,"dinosaurs, nature",They love nature and making clay.,0.16666666666666669,CORRECT
Naive/conv-26:20,Naive,2,When did Melanie go to the museum?,5 July 2023,6 July 2023,0.6666666666666666,WRONG
SimpleMem/conv-26:20,SimpleMem,2,When did Melanie go to the museum?,5 July 2023,"July 6, 2023",0.6666666666666666,WRONG
LightMem_official/conv-26:20,LightMem_official,2,When did Melanie go to the museum?,5 July 2023,06 July 2023,0.6666666666666666,WRONG
Naive/conv-26:21,Naive,2,When did Caroline have a picnic?,The week before 6 July 2023,last week,0.28571428571428575,CORRECT
Mem0/conv-26:21,Mem0,2,When did Caroline have a picnic?,The week before 6 July 2023,Last week,0.28571428571428575,CORRECT
HiGMem/conv-26:21,HiGMem,2,When did Caroline have a picnic?,The week before 6 July 2023,last week,0.28571428571428575,CORRECT
s_parent_single_2000/conv-26:21,s_parent_single_2000,2,When did Caroline have a picnic?,The week before 6 July 2023,26 June 2023 to 2 July 2023,0.3333333333333333,CORRECT
Mem0/conv-26:22,Mem0,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books",Yes,0.25,CORRECT
A-MEM/conv-26:22,A-MEM,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books",Yes,0.25,CORRECT
LangMem/conv-26:22,LangMem,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books",Yes,0.25,CORRECT
HiGMem/conv-26:22,HiGMem,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books",kids' books,0.22222222222222224,CORRECT
E-Mem/conv-26:22,E-Mem,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books","Yes, Caroline likely has Dr. Seuss books on her bookshelf.",0.23529411764705882,CORRECT
Mem0/conv-26:24,Mem0,1,What does Melanie do to destress?,"Running, pottery",She runs.,0.3333333333333333,CORRECT
LightMem_official/conv-26:24,LightMem_official,1,What does Melanie do to destress?,"Running, pottery",She runs farther to de-stress.,0.16666666666666669,CORRECT
Naive/conv-26:25,Naive,2,When did Caroline go to the LGBTQ conference?,10 July 2023,12 July 2023,0.6666666666666666,WRONG
LangMem/conv-26:25,LangMem,2,When did Caroline go to the LGBTQ conference?,10 July 2023,12 July 2023,0.6666666666666666,WRONG
SimpleMem/conv-26:25,SimpleMem,2,When did Caroline go to the LGBTQ conference?,10 July 2023,"July 12, 2023",0.6666666666666666,WRONG
LightMem_official/conv-26:25,LightMem_official,2,When did Caroline go to the LGBTQ conference?,10 July 2023,12 July 2023,0.6666666666666666,WRONG
Mem0/conv-26:27,Mem0,3,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor","No, she is considering counseling and mental health.",0.22222222222222224,CORRECT
A-MEM/conv-26:27,A-MEM,3,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor","No, Caroline is interested in counseling and mental health.",0.2,CORRECT
LangMem/conv-26:27,LangMem,3,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor",No evidence suggests Caroline pursues writing as a career.,0.2,CORRECT
SimpleMem/conv-26:27,SimpleMem,3,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor","No, she plans to pursue counseling.",0.25,CORRECT
LightMem_official/conv-26:27,LightMem_official,3,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor","No, she is pursuing counseling and art.",0.25,CORRECT
LangMem/conv-26:28,LangMem,2,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,15 July 2023,0.7499999999999999,WRONG
LightMem_official/conv-26:28,LightMem_official,2,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,15 July 2023,0.7499999999999999,WRONG
s_parent_single_2000/conv-26:28,s_parent_single_2000,2,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,15 July 2023,0.7499999999999999,WRONG
Mem0/conv-26:30,Mem0,3,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it",No,0.15384615384615385,CORRECT
A-MEM/conv-26:30,A-MEM,3,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it","No, Melanie is not identified as a member of the LGBTQ community; she is portrayed as a supportive friend and ally to Caroline.",0.3870967741935484,CORRECT
LangMem/conv-26:30,LangMem,3,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it",No,0.15384615384615385,CORRECT
LightMem_official/conv-26:30,LightMem_official,3,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it","No, Melanie is an ally/supporter.",0.125,CORRECT
A-MEM/conv-26:31,A-MEM,2,When did Melanie go camping in June?,The week before 27 June 2023,"June 27, 2023",0.7499999999999999,WRONG
SimpleMem/conv-26:31,SimpleMem,2,When did Melanie go camping in June?,The week before 27 June 2023,Last week,0.28571428571428575,CORRECT
LightMem_official/conv-26:31,LightMem_official,2,When did Melanie go camping in June?,The week before 27 June 2023,27 June 2023,0.7499999999999999,WRONG
LightMem_official/conv-26:32,LightMem_official,1,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group","LGBTQ conferences, parades, workshops, and art shows.",0.2222222222222222,CORRECT
Naive/conv-26:33,Naive,2,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,3 July 2023,0.7499999999999999,WRONG
LangMem/conv-26:33,LangMem,2,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,June 2023,0.28571428571428575,CORRECT
Naive/conv-26:34,Naive,1,What events has Caroline participated in to help children?,"Mentoring program, school speech",LGBTQ youth mentorship program,0.16666666666666666,CORRECT
A-MEM/conv-26:34,A-MEM,1,What events has Caroline participated in to help children?,"Mentoring program, school speech","Taking in kids in need, volunteering with children in nature, and organizing a talent show for kids.",0.0,CORRECT
LangMem/conv-26:34,LangMem,1,What events has Caroline participated in to help children?,"Mentoring program, school speech",Organizing a talent show and mentoring youth.,0.14285714285714288,CORRECT
LightMem_official/conv-26:34,LightMem_official,1,What events has Caroline participated in to help children?,"Mentoring program, school speech","Volunteering, mentoring, and talent show.",0.3333333333333333,CORRECT
Naive/conv-26:35,Naive,2,When did Melanie go camping in July?,two weekends before 17 July 2023,15 July 2023,0.4444444444444444,CORRECT
SimpleMem/conv-26:35,SimpleMem,2,When did Melanie go camping in July?,two weekends before 17 July 2023,"July 15, 2023",0.4444444444444444,CORRECT
E-Mem/conv-26:35,E-Mem,2,When did Melanie go camping in July?,two weekends before 17 July 2023,Early-to-mid July 2023,0.4444444444444444,CORRECT
Naive/conv-26:36,Naive,2,When did Caroline join a mentorship program?,The weekend before 17 July 2023,Last weekend,0.28571428571428575,CORRECT
Mem0/conv-26:36,Mem0,2,When did Caroline join a mentorship program?,The weekend before 17 July 2023,Last weekend,0.28571428571428575,CORRECT
A-MEM/conv-26:36,A-MEM,2,When did Caroline join a mentorship program?,The weekend before 17 July 2023,Last weekend,0.28571428571428575,CORRECT
LangMem/conv-26:36,LangMem,2,When did Caroline join a mentorship program?,The weekend before 17 July 2023,July 2023,0.5714285714285715,WRONG
SimpleMem/conv-26:36,SimpleMem,2,When did Caroline join a mentorship program?,The weekend before 17 July 2023,Last weekend,0.28571428571428575,CORRECT
HiGMem/conv-26:36,HiGMem,2,When did Caroline join a mentorship program?,The weekend before 17 July 2023,Last weekend,0.28571428571428575,CORRECT
Mem0/conv-26:37,Mem0,1,What did Melanie paint recently?,sunset,A sunset with a palm tree,0.4,CORRECT
LightMem_official/conv-26:37,LightMem_official,1,What did Melanie paint recently?,sunset,A sunset with a pink sky,0.4,CORRECT
E-Mem/conv-26:37,E-Mem,1,What did Melanie paint recently?,sunset,"A horse, a sunflower, a sunset with a pink sky, and an abstract painting.",0.4,CORRECT
s_parent_single_2000/conv-26:37,s_parent_single_2000,1,What did Melanie paint recently?,sunset,a sunset-inspired painting with a pink sky,0.0,CORRECT
Mem0/conv-26:38,Mem0,1,What activities has Melanie done with her family?,"Pottery, painting, camping, museum, swimming, hiking","Camping, museum visits, volunteering, beach trips, and park outings.",0.27777777777777773,CORRECT
A-MEM/conv-26:38,A-MEM,1,What activities has Melanie done with her family?,"Pottery, painting, camping, museum, swimming, hiking","Camping, hiking, roasting marshmallows, playing games, and eating food.",0.3333333333333333,CORRECT
s_parent_single_2000/conv-26:38,s_parent_single_2000,1,What activities has Melanie done with her family?,"Pottery, painting, camping, museum, swimming, hiking","hiking in the mountains, exploring forests, camping trips, pottery",0.3611111111111111,CORRECT
Naive/conv-26:39,Naive,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","attending support groups, speaking at school events, researching adoption agencies for LGBTQ+ folks, attending LGBTQ+ counseling workshops, attending pride parades, attending transgender conferences",0.22619047619047622,CORRECT
Mem0/conv-26:39,Mem0,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","Through art, volunteering, mentoring, and activism.",0.25,CORRECT
A-MEM/conv-26:39,A-MEM,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","She attends LGBTQ support groups, pride parades, and conferences; joins the ""Connected LGBTQ Activists"" group to advocate for rights; and spreads awareness through events and campaigns.",0.25,CORRECT
LangMem/conv-26:39,LangMem,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","Through attending pride events, volunteering at a youth center, and advocating for trans rights.",0.0625,CORRECT
SimpleMem/conv-26:39,SimpleMem,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","Attending conferences, joining activist groups, participating in pride events, and supporting LGBTQ adoption.",0.4375,CORRECT
LightMem_official/conv-26:39,LightMem_official,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","Volunteering, mentoring, and creating art.",0.25,CORRECT
HiGMem/conv-26:39,HiGMem,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","volunteering at an LGBTQ+ youth center, mentoring a transgender teen, participating in an LGBTQ activist group, giving talks about her transgender journey, and creating art to express her trans experience",0.38156565656565655,CORRECT
E-Mem/conv-26:39,E-Mem,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","By attending support groups, mentoring youth, volunteering, joining activist groups, and creating art.",0.4583333333333333,CORRECT
s_parent_single_2000/conv-26:39,s_parent_single_2000,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","joined a new LGBTQ activist group, attended an LGBTQ conference, uses her art to speak up for the LGBTQ+ community, and is having an LGBTQ art show",0.33707264957264954,CORRECT
Naive/conv-26:41,Naive,2,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,20 July 2023,0.7499999999999999,WRONG
Mem0/conv-26:41,Mem0,2,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,Last Tuesday,0.28571428571428575,CORRECT
HiGMem/conv-26:41,HiGMem,2,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,last Tues,0.0,CORRECT
SimpleMem/conv-26:45,SimpleMem,2,When did Caroline attend a pride parade in August?,The Friday before 14 August 2023,Last Friday,0.28571428571428575,CORRECT
Mem0/conv-26:46,Mem0,3,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive",Yes,0.4,CORRECT
A-MEM/conv-26:46,A-MEM,3,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive",Yes,0.4,CORRECT
LangMem/conv-26:46,LangMem,3,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive",Yes,0.4,CORRECT
SimpleMem/conv-26:46,SimpleMem,3,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive",Yes,0.4,CORRECT
HiGMem/conv-26:46,HiGMem,3,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive",I'm super proud of you for being your true self.,0.0,CORRECT
E-Mem/conv-26:46,E-Mem,3,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive","Yes, Melanie is considered an ally to the transgender community.",0.3333333333333333,CORRECT
LangMem/conv-26:47,LangMem,1,Who supports Caroline when she has a negative experience?,"Her mentors, family, and friends","Her supportive, accepting people.",0.16666666666666666,CORRECT
HiGMem/conv-26:47,HiGMem,1,Who supports Caroline when she has a negative experience?,"Her mentors, family, and friends","friends, family and people I looked up to",0.42857142857142855,CORRECT
A-MEM/conv-26:48,A-MEM,1,What types of pottery have Melanie and her kids made?,"bowls, cup","Pots, clay sculptures, and a cup with a dog face.",0.2,CORRECT
SimpleMem/conv-26:48,SimpleMem,1,What types of pottery have Melanie and her kids made?,"bowls, cup",Clay sculptures and bowls,0.25,CORRECT
LightMem_official/conv-26:48,LightMem_official,1,What types of pottery have Melanie and her kids made?,"bowls, cup",Melanie made a bowl; kids made pots.,0.14285714285714285,CORRECT
HiGMem/conv-26:48,HiGMem,1,What types of pottery have Melanie and her kids made?,"bowls, cup",pots and a cup with a dog face,0.16666666666666669,CORRECT
E-Mem/conv-26:48,E-Mem,1,What types of pottery have Melanie and her kids made?,"bowls, cup",pots and a cup with a dog face on it,0.125,CORRECT
s_parent_single_2000/conv-26:48,s_parent_single_2000,1,What types of pottery have Melanie and her kids made?,"bowls, cup","pots, a cup with a dog face on it",0.14285714285714285,CORRECT
Mem0/conv-26:49,Mem0,2,When did Caroline and Melanie go to a pride fesetival together?,2022,Last year,0.0,CORRECT
A-MEM/conv-26:49,A-MEM,2,When did Caroline and Melanie go to a pride fesetival together?,2022,Last year,0.0,CORRECT
HiGMem/conv-26:49,HiGMem,2,When did Caroline and Melanie go to a pride fesetival together?,2022,last year,0.0,CORRECT
E-Mem/conv-26:49,E-Mem,2,When did Caroline and Melanie go to a pride fesetival together?,2022,Last year.,0.0,CORRECT
Naive/conv-26:50,Naive,3,What would Caroline's political leaning likely be?,Liberal,Progressive,0.0,CORRECT
Mem0/conv-26:50,Mem0,3,What would Caroline's political leaning likely be?,Liberal,Progressive,0.0,CORRECT
A-MEM/conv-26:50,A-MEM,3,What would Caroline's political leaning likely be?,Liberal,Progressive,0.0,CORRECT
LangMem/conv-26:50,LangMem,3,What would Caroline's political leaning likely be?,Liberal,Progressive,0.0,CORRECT
SimpleMem/conv-26:50,SimpleMem,3,What would Caroline's political leaning likely be?,Liberal,Progressive,0.0,CORRECT
LightMem_official/conv-26:50,LightMem_official,3,What would Caroline's political leaning likely be?,Liberal,Liberal or progressive leaning.,0.4,CORRECT
HiGMem/conv-26:50,HiGMem,3,What would Caroline's political leaning likely be?,Liberal,keep standing up for equality,0.0,CORRECT
E-Mem/conv-26:50,E-Mem,3,What would Caroline's political leaning likely be?,Liberal,Progressive,0.0,CORRECT
s_parent_single_2000/conv-26:50,s_parent_single_2000,3,What would Caroline's political leaning likely be?,Liberal,Progressive,0.0,CORRECT
Naive/conv-26:51,Naive,1,What has Melanie painted?,"Horse, sunset, sunrise",a painting of a sunset over a lake,0.11111111111111112,CORRECT
Mem0/conv-26:51,Mem0,1,What has Melanie painted?,"Horse, sunset, sunrise",A sunset with a palm tree,0.13333333333333333,CORRECT
A-MEM/conv-26:51,A-MEM,1,What has Melanie painted?,"Horse, sunset, sunrise",A lake sunrise,0.2222222222222222,CORRECT
LangMem/conv-26:51,LangMem,1,What has Melanie painted?,"Horse, sunset, sunrise","Landscapes, still life, a horse, a sunset-over-lake, and a sunflower.",0.3333333333333333,CORRECT
SimpleMem/conv-26:51,SimpleMem,1,What has Melanie painted?,"Horse, sunset, sunrise","Landscapes, still life, purple flowers, a sunset over a lake, and a group of bowls with a starfish.",0.16666666666666666,CORRECT
LightMem_official/conv-26:51,LightMem_official,1,What has Melanie painted?,"Horse, sunset, sunrise",Melanie painted a sunset over a lake.,0.11111111111111112,CORRECT
s_parent_single_2000/conv-26:51,s_parent_single_2000,1,What has Melanie painted?,"Horse, sunset, sunrise","lake sunrise, sunset over a lake, sunset with a palm tree, abstract painting with a blue background, sunset-inspired painting with a pink sky",0.38888888888888884,CORRECT
Naive/conv-26:52,Naive,1,What are Melanie's pets' names?,"Oliver, Luna, Bailey",Luna and Oliver,0.4444444444444444,CORRECT
Mem0/conv-26:52,Mem0,1,What are Melanie's pets' names?,"Oliver, Luna, Bailey","Bailey, Oliver, and Oscar.",0.6666666666666666,WRONG
SimpleMem/conv-26:52,SimpleMem,1,What are Melanie's pets' names?,"Oliver, Luna, Bailey",Luna and Oliver,0.4444444444444444,CORRECT
HiGMem/conv-26:52,HiGMem,1,What are Melanie's pets' names?,"Oliver, Luna, Bailey",Luna and Oliver,0.4444444444444444,CORRECT
Naive/conv-26:54,Naive,2,When did Caroline draw a self-portrait?,The week before 23 August 2023,last week,0.28571428571428575,CORRECT
Mem0/conv-26:54,Mem0,2,When did Caroline draw a self-portrait?,The week before 23 August 2023,Last week,0.28571428571428575,CORRECT
A-MEM/conv-26:54,A-MEM,2,When did Caroline draw a self-portrait?,The week before 23 August 2023,Last week,0.28571428571428575,CORRECT
HiGMem/conv-26:54,HiGMem,2,When did Caroline draw a self-portrait?,The week before 23 August 2023,last week,0.28571428571428575,CORRECT
Mem0/conv-26:56,Mem0,1,What symbols are important to Caroline?,"Rainbow flag, transgender symbol",Eagle and rainbow flag,0.4,CORRECT
Mem0/conv-26:57,Mem0,2,When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,Last week,0.28571428571428575,CORRECT
HiGMem/conv-26:57,HiGMem,2,When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,last week,0.28571428571428575,CORRECT
Naive/conv-26:58,Naive,2,When did Melanie make a plate in pottery class?,24 August 2023,25 August 2023,0.6666666666666666,WRONG
LightMem_official/conv-26:58,LightMem_official,2,When did Melanie make a plate in pottery class?,24 August 2023,25 August 2023,0.6666666666666666,WRONG
HiGMem/conv-26:58,HiGMem,2,When did Melanie make a plate in pottery class?,24 August 2023,"25 August, 2023",0.6666666666666666,WRONG
Naive/conv-26:62,Naive,2,When did Melanie go to the park?,27 August 2023,28 August 2023,0.6666666666666666,WRONG
LangMem/conv-26:62,LangMem,2,When did Melanie go to the park?,27 August 2023,28 August 2023,0.6666666666666666,WRONG
LightMem_official/conv-26:62,LightMem_official,2,When did Melanie go to the park?,27 August 2023,28 August 2023,0.6666666666666666,WRONG
Naive/conv-26:63,Naive,2,When is Caroline's youth center putting on a talent show?,September 2023,next month,0.0,CORRECT
Mem0/conv-26:63,Mem0,2,When is Caroline's youth center putting on a talent show?,September 2023,Next month,0.0,CORRECT
A-MEM/conv-26:63,A-MEM,2,When is Caroline's youth center putting on a talent show?,September 2023,Next month.,0.0,CORRECT
LangMem/conv-26:63,LangMem,2,When is Caroline's youth center putting on a talent show?,September 2023,Next month,0.0,CORRECT
SimpleMem/conv-26:63,SimpleMem,2,When is Caroline's youth center putting on a talent show?,September 2023,Next month.,0.0,CORRECT
LightMem_official/conv-26:63,LightMem_official,2,When is Caroline's youth center putting on a talent show?,September 2023,"Next month after August 28, 2023.",0.25,CORRECT
HiGMem/conv-26:63,HiGMem,2,When is Caroline's youth center putting on a talent show?,September 2023,next month,0.0,CORRECT
E-Mem/conv-26:63,E-Mem,2,When is Caroline's youth center putting on a talent show?,September 2023,Next month (relative to August 2023).,0.25,CORRECT
s_parent_single_2000/conv-26:63,s_parent_single_2000,2,When is Caroline's youth center putting on a talent show?,September 2023,next month,0.0,CORRECT
