reader,id,conv_id,category,question,gold,prediction,official_f1,finish_reason,read_tokens,input_tokens,output_tokens,generation_cache_key
legacy,conv-26:70,conv-26,1,What transgender-specific events has Caroline attended?,"Poetry reading, conference","transgender poetry reading, transgender conference",0.7333333333333334,stop,2030,2139,8,35094de555bd4ac4ec2405cc3d94a5e8a977eb7a51fd5f0d101f2f789fb4e399
legacy,conv-26:71,conv-26,1,What book did Melanie read from Caroline's suggestion?,"""Becoming Nicole""",unknown,0.0,stop,2031,2142,2,82d0a5a189cb9dea6b1b54ea103b17e9800f96e99775ddb2de05a4ec06cd67aa
legacy,conv-26:72,conv-26,2,When did Melanie's friend adopt a child?,2022,2022,1.0,stop,2043,2153,5,c684326e38fabfad5329a9561d0f7dab038bdc353a2efae22dfe2435dbada47d
legacy,conv-26:74,conv-26,2,When did Melanie's family go on a roadtrip?,The weekend before 20 October 2023,this past weekend,0.25,stop,2043,2155,4,d71321998b15591cf9fb65a66a862078ad4b9bf464d000df2c21cb36945a313d
legacy,conv-26:75,conv-26,1,How many children does Melanie have?,3,3,1.0,stop,2031,2139,2,7532ad8f0af3f19d887f5b160727aab9233c3395f5fd7fd0b8b7405ab327db01
legacy,conv-26:78,conv-26,1,What items has Melanie bought?,"Figurines, shoes",pink sneakers,0.0,stop,2048,2155,3,f58f6fe050aa138acacf82eb4a75a603c6bfb233c34dd68d28f1cb049199cd25
legacy,conv-26:81,conv-26,3,Would Caroline want to move back to her home country soon?,No; she's in the process of adopting children.,unknown,0.0,stop,2030,2143,2,76f9d4ae77385789914f911ec5411e11dee57e3249d033ddeea6cbc5b8a31aeb
legacy,conv-26:84,conv-26,4,How does Melanie prioritize self-care?,"by carving out some me-time each day for activities like running, reading, or playing the violin","Running, reading, or playing her violin",0.47619047619047616,stop,2030,2138,9,df6d29ab44845d3f0840ac9289cde46617f3cfe49c57db4795f4536a63457df4
legacy,conv-26:85,conv-26,4,What are Caroline's plans for the summer?,researching adoption agencies,Planning a special trip for just the two of them to explore nature,0.0,stop,2032,2142,14,8f5066a2912ef231c424f6ec3a9fa5c66c5a48b3b511dbafb3843afd45298d16
legacy,conv-26:86,conv-26,4,What type of individuals does the adoption agency Caroline is considering support?,LGBTQ+ individuals,LGBTQ+ folks,0.5,stop,2032,2146,6,26aa1cd17a69c4aabf74bb30143e68ff7e071fb65b1808d8ff3c841a7b793566
legacy,conv-26:101,conv-26,4,Did Melanie make the black and white bowl in the photo?,Yes,Yes,1.0,stop,2044,2157,2,d60948d210de4e7fa772f552758ad0bd29e3d6f9ff5557637134ed7ce8d86d54
legacy,conv-26:108,conv-26,4,What does Melanie say running has been great for?,Her mental health,"her headspace, mental health, destress, clear my mind",0.5454545454545454,stop,2047,2158,14,6dc1e210e7863924191a1643c8f0bb4130932671e6548ef24804a8dace3e9965
legacy,conv-26:113,conv-26,4,What did Caroline see at the council meeting for adoption?,many people wanting to create loving homes for children in need,so many people wanted to create loving homes for children in need,0.9565217391304348,stop,2036,2148,13,881cc617a9e64b07fc0a1a1467074d49a280ab4017fd79298f25ea48c02cdd2e
legacy,conv-26:115,conv-26,4,Why are flowers important to Melanie?,They remind her to appreciate the small moments and were a part of her wedding decor,"They represent growth, beauty and reminding us to appreciate the small moments.",0.5217391304347826,stop,2046,2154,15,8293870b98a9157b2aa5a45352f653e6e1f8bd038f88925ae24b195628347dd8
legacy,conv-26:120,conv-26,4,Whose birthday did Melanie celebrate recently?,Melanie's daughter,her daughter,0.5,stop,2041,2150,3,7873352d680b1e57f556d43b98fda7e7007b54c45566e8494d59138c678cb9c4
legacy,conv-26:121,conv-26,4,Who performed at the concert at Melanie's daughter's birthday?,Matt Patterson,Matt Patterson,1.0,stop,2047,2160,3,5c51969c23edfa770377b9c7faec24abc6ad55ba9f4c50844bb50e67035b657e
legacy,conv-26:130,conv-26,4,Which  classical musicians does Melanie enjoy listening to?,Bach and Mozart,"Bach, Mozart",1.0,stop,2047,2158,5,972b1fbc276a4d6cc535fc822572f03016d4fb6c74487aeab14df5a6fbd9d1c0
legacy,conv-26:138,conv-26,4,"What kind of painting did Caroline share with Melanie on October 13, 2023?",An abstract painting with blue streaks on a wall.,abstract,0.25,stop,2048,2170,2,048ceade3f93794674393b34ba9f63fbbdc8cc39ab797d9ed1f2b3b17b812d7c
legacy,conv-26:140,conv-26,4,What did the posters at the poetry reading say?,"""Trans Lives Matter""",trans lives matter,1.0,stop,2047,2158,4,ee2ce6f26a78fc53309caac7d3966d5b1053d46b25e6d92928128c8eff958dba
legacy,conv-26:142,conv-26,4,How do Melanie and Caroline describe their journey through life together?,An ongoing adventure of learning and growing.,learning and exploring,0.2857142857142857,stop,2048,2161,4,a8f7f5a874501d4ec2550591ad6669d56e19a4f24203ae6348252229cb891ca8
legacy,conv-26:149,conv-26,4,What do Melanie's family give her?,Strength and motivation,"motivation, support, love, strength",0.6666666666666666,stop,2048,2157,9,fdfab55c0ec93d14d4356e21470c2f849bbc17d72eb7e0de3368181d9879e1e5
legacy,conv-30:0,conv-30,2,When Jon has lost his job as a banker?,"19 January, 2023",19 January 2023,1.0,stop,2048,2159,9,f8f063fd7694ad88169318bceb4860e9b722caf0617235c6304607f79987a566
legacy,conv-30:21,conv-30,2,"When did Jon start reading ""The Lean Startup""?","May, 2023",unknown,0.0,stop,2043,2154,2,d048e2440f9a6bcae6b0d302ba24774e820f31fe3742c11aceec9494bbba40b3
legacy,conv-30:27,conv-30,1,Did Jon and Gina both participate in dance competitions?,Yes,Yes,1.0,stop,2040,2151,2,a54c88e8810ac7ed00a6e436f10c6293715d91462bec4c6d8bbf85fe97d5ca7c
legacy,conv-30:29,conv-30,1,Which cities has Jon visited?,"Paris, Rome","Paris, Rome",1.0,stop,2043,2150,4,34c2569778841dcf3225056bbba69e44a0a7e7a820b22c2f1671bf6d3628a023
legacy,conv-30:30,conv-30,2,When Jon is planning to open his dance studio?,"20 June, 2023",20 June 2023,1.0,stop,2031,2142,9,5ce9b8b4974704833e90a49013b974a07980db6bbca83d875c357b544022bee9
legacy,conv-30:35,conv-30,2,When did Jon start learning marketing and analytics tools?,"July, 2023",9 July 2023,0.8,stop,2043,2154,8,e8d18e731251480b82dcbbbb439223959a2f204175da553211f22a0e77cf3b0d
legacy,conv-30:36,conv-30,2,When did Jon and Gina decide to collaborate to create dance content?,21 July 2023,21 July 2023,1.0,stop,2036,2150,9,11126ea6972f1444742a6f4f11c1cb3b1c2b36d38bd8dac11f1ee94df9f6b294
legacy,conv-30:41,conv-30,4,What was Gina's favorite dancing memory?,Winning first place at a regionals dance competition,winning first place at a regional competition when she was fifteen,0.7058823529411765,stop,2026,2135,13,4ceb034d0ce1b4ee5cdbb867f1135a7299722a35469d1a0cd803cd819c521427
legacy,conv-30:46,conv-30,4,What kind of flooring is Jon looking for in his dance studio?,Marley flooring,Marley flooring,1.0,stop,2048,2162,4,62745abc4aebb4194fc6d2cbdc136b3e493dc64f7fc49375ddd58980f5101b0f
legacy,conv-30:59,conv-30,4,Why did Gina combine her clothing business with dance?,she is passionate about dance and fashion,"She is passionate about dance and fashion, and combining them lets her show her creativity and share her love with others.",0.5,stop,2047,2158,24,a51bf5ac1352388887187fc9b1b6b313129d3d7383fc39f1549fe342ba89e9dd
legacy,conv-30:64,conv-30,4,Where is Gina's fashion internship?,fashion department of an international company,fashion department of an international company,1.0,stop,2048,2156,8,c4373f8b33d9fb477d77de486d95389cec8c6544f54e8bda368fccd3782aa80d
legacy,conv-30:66,conv-30,4,What is Jon offering to the dancers at his dance studio?,One-on-one mentoring and training,one-on-one mentoring and training,1.0,stop,2046,2159,7,5a12b5854cea7a43b231326759b30334b25b39997e2c56288d6afa74d220913e
legacy,conv-30:70,conv-30,4,What is Jon working on opening?,a dance studio,a dance studio,1.0,stop,2033,2141,4,2248204f0b06f8b33110aded9760fa10a89cf4219605cf3842f7e9c9347d8ca2
legacy,conv-30:75,conv-30,4,What does Gina say to Jon about the grand opening?,Let's live it up and make some great memories,Can't wait to have fun at your dance studio!,0.0,stop,2045,2157,12,c7b4cf03887d73add1f7b31d9326454450c8016f930b6ee9ff03f9d15bccb394
legacy,conv-30:77,conv-30,4,What did Gina make a limited edition line of?,Hoodies,hoodie,1.0,stop,2033,2144,3,f16020d270232ca8a073a0ef40e3ec6fe99c44d6777b209d9a6f52b883f033db
legacy,conv-41:6,conv-41,1,Where has Maria made friends?,"homeless shelter, gym, church","church, gym, homeless shelter",1.0,stop,2046,2153,7,f2c19a66a04ae4e07a3f2f5daa06cd2d69e1660907ef8a07cb7e96a575798652
legacy,conv-41:9,conv-41,1,Who gave Maria's family money when she was younger and her family was going through tough times?,Her aunt,her auntie,0.5,stop,2028,2148,4,27dad69e6a10cd1f8fab0be3b2b8f5500a5fbe441d4ee7812d30408181ceb844
legacy,conv-41:15,conv-41,1,What writing classes has Maria taken?,"Poetry, creative writing","creative writing, poetry",1.0,stop,2045,2153,5,679c6e86563925d23e5b611b75347d21756593e9a96f40df2d8b7d7acb754b75
legacy,conv-41:16,conv-41,2,When did John get his degree?,The week before 2 April 2023,March 2023,0.2857142857142857,stop,2034,2142,7,7ed2782b577b7bb8593b48d4598ad3ac6b455b959e458f1df1b8aeabb5e9f4d4
legacy,conv-41:18,conv-41,1,Who did John go to yoga with?,Rob,a colleague,0.0,stop,2034,2143,3,d6346f57aabca35601df78bcc9b26a13510c4f76f021eb8577d19ee7f35814a8
legacy,conv-41:20,conv-41,2,When did John take a road trip to the Pacific Northwest?,2022,2022,1.0,stop,2035,2148,5,08bf68f7a9e89ceead9dce3b5b7d90b57b5236b9707a4de8ae96df1f2f037121
legacy,conv-41:21,conv-41,1,What areas of the U.S. has John been to or is planning to go to?,"Pacific northwest, east coast",East Coast,0.5,stop,2045,2164,3,0498c82e0e43290ca78f2b26b7beb3524ee0b23977ff856eb4df2d37f91d2634
legacy,conv-41:24,conv-41,2,When did John start boot camp with his family?,April.2023,April 2023,0.0,stop,2041,2152,7,915850f463c63b497b95edfb49759979c269a1407263e98fd4725b6808d4db5c
legacy,conv-41:30,conv-41,1,What shelters does Maria volunteer at?,"The homeless shelter, the dog shelter","homeless shelter, local dog shelter",0.9,stop,2046,2154,8,e6e0a2324db668bb5235ffd20d9148bd79cd5170867df39df33e7e3e7a794779
legacy,conv-41:41,conv-41,3,Does John live close to a beach or the mountains?,beach,unknown,0.0,stop,2027,2139,2,1c9c498170a4437e789af765a428e397bd86edc884a459861b22e98c81ce4f6d
legacy,conv-41:46,conv-41,2,When did Maria go hiking with her church friends?,The weekend before 22 July 2023,22 July 2023,0.75,stop,2047,2158,9,d373764f7e522045e4aee1f5801c33e0eb01dcbc0a6db52b525ac20102732397
legacy,conv-41:50,conv-41,3,What attributes describe John?,"Selfless, family-oriented, passionate, rational","Inspiring, motivating, passionate, supportive, community-focused, growth-oriented, resilient, grateful, and family-oriented.",0.3076923076923077,stop,2044,2150,24,32be7ff4ddff2c6ab5f81b6aa97956ff79e107e3c4ac6dd4227dd03d754e0eb7
legacy,conv-41:58,conv-41,2,When did Maria get Coco?,Two weeks before 11 August 2023,28 July 2023,0.2222222222222222,stop,2044,2151,9,961c0f9a0148f215ad1789aa9051345da84ac82b0500468873ffe7ceee8b34a8
legacy,conv-41:67,conv-41,4,How did the extra funding help the school shown in the photo shared by John?,"Enabled needed repairs and renovations, making the learning environment safer and more modern for students.","It enabled needed repairs and renovations, making the learning environment safer and more modern for students.",0.96,stop,2039,2156,19,e79745a0c4cb2104c8ca7d11cd166f6e2f791dc706a4e8c760e66b57ba8fdd1f
legacy,conv-41:79,conv-41,4,How often does John take his kids to the park?,A few times a week,a few times a week,1.0,stop,2047,2159,6,d792e4819c3eac6778bc2fb0646ce30bf8d7060d222b9ea45bbd38dd5438c7f5
legacy,conv-41:80,conv-41,4,What did Maria make for her home to remind her of a trip to England?,painting of a castle on a hill,a painting of a castle on a hill,1.0,stop,2033,2150,9,65db27628f1af162ee15e3e558895fa700a474be7df13a74a1d2e0bc46e7b6c1
legacy,conv-41:83,conv-41,4,What areas is John particularly interested in for policymaking?,education and infrastructure,"education, infrastructure",1.0,stop,2043,2155,4,52d24ee78c9e45ef534a6fc181a2fb9a194632cf6c78da7afefc81734dee55ad
legacy,conv-41:85,conv-41,4,What event did John volunteer at last weekend?,career fair at a local school,community event to raise money for a good cause,0.0,stop,2047,2157,10,17e1ecf5048b5f020e99510fd98f930cf219cd33ff70c9b67b8a9e5b15b89f04
legacy,conv-41:92,conv-41,4,How often does John work out with his family?,Three times a week,Three times a week,1.0,stop,2030,2141,5,d7d5151f2211e63ddb826485d6fba44b4f08fbaeac73f6be8852915fd04d3e10
legacy,conv-41:96,conv-41,4,What did Maria do to feel closer to a community and her faith?,joined a nearby church,"joined a nearby church, bought a cross necklace",0.6666666666666666,stop,2025,2140,10,e088cd4716f029d79488e8b6c84d8c864b7dd519772a0e5218a01f9416c466c5
legacy,conv-41:97,conv-41,4,Why did Maria join a nearby church recently?,to feel closer to a community and her faith,to feel closer to a community and her faith,1.0,stop,2043,2153,10,59ef45852539486c02bd2f2dfe185498f8d0336aea5315b6ab9be35a32217dcd
legacy,conv-41:106,conv-41,4,What important values does John want to teach his kids through adopting a rescue dog?,Responsibility and compassion,responsibility and compassion,1.0,stop,2047,2164,5,53a9c1d6913d7ec7b6f6dbb0abcf499a27ba02ab6d9db161a8b921bd8db2328c
legacy,conv-41:115,conv-41,4,What kind of event did John and his family attend in June 2023?,live music event,live music event,1.0,stop,2047,2166,4,f1de047aa87b5964c555304ea39725c38a7cb62546e04058c35370c7248df820
legacy,conv-41:116,conv-41,4,Why did Maria need to help her cousin find a new place to live?,Her cousin had to leave and find a new place in a hurry.,A car ran a red light and hit them,0.0,stop,2042,2158,10,fba78545913bdf17713247d53ed6617de1fb4bd85f4c70b2eb374088be2ebe5a
legacy,conv-41:117,conv-41,4,What event did John participate in to show support for veterans' rights?,marching event,marching event for veterans' rights,0.5714285714285714,stop,2033,2148,8,46b51042708b3a0922952447882e5a132070f7749f4554c57a3202646791088a
legacy,conv-41:118,conv-41,4,What inspired John to join the marching event for veterans' rights?,Respect for the military and the desire to show support,great respect for the military,0.5454545454545454,stop,2043,2157,6,1e0021dbbecd66092e688b65c18bc40952b53437c4139fa1d61835620ee4ef3f
legacy,conv-41:122,conv-41,4,"What motivated Maria and John to discuss potential solutions for their community on 7 July, 2023?",Flood in John's old area,John's old area was hit by a nasty flood the week before 7 July 2023 (26 June 2023 to 2 July 2023).,0.32,stop,2048,2172,41,9965614e781ec6d5693ca9c1ce41f9ca52d4a9789d1264d4711dec4e1662f10e
legacy,conv-41:137,conv-41,4,What happened to John's job in August 2023?,John lost his job at the mechanical engineering company.,He lost his job at a mechanical engineering company because the company tanked.,0.7368421052631579,stop,2031,2146,16,4bcc1f7870adc40808ad0b2e3c8b9a55aff4718e618ce7d141edd5f1651e3c75
legacy,conv-41:138,conv-41,4,What activity did Maria take up with her friends from church in August 2023?,community work,community work,1.0,stop,2048,2168,3,0ca55f8752d53c763c88cb38ceb0cb9b0b7e500b20f493df6cb53b70c124cf4b
legacy,conv-41:150,conv-41,4,What activities does John's family enjoy doing together?,"going for hikes, hanging out at the park, having picnics, playing board games, having movie nights","hiking, hanging out at the park, having picnics, playing board games, having movie nights, climbing, sliding, playing games",0.8125,stop,2033,2144,29,0e22c8cdc453a3a20bd4c12394aa2bb6ea93b30be486ed7706b46d0c9e34799d
legacy,conv-42:1,conv-42,1,What kind of interests do Joanna and Nate share?,"Watching movies, making desserts","movies, video games",0.3333333333333333,stop,2047,2158,5,29099b156ca8314066dd2b71fae2b773c19f0977847ec6812b8d02649262ac71
legacy,conv-42:2,conv-42,2,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,unknown,0.0,stop,2034,2150,2,bbc92eda4029acc42699d6e8d23ee2fb668233f6867c2b863ba175d4aebeddc0
legacy,conv-42:6,conv-42,2,How long has Nate had his first two turtles?,three years,3 years,0.5,stop,2033,2144,3,0d3cd87e408a483325d0aa7088382342bd4581baae96d49e7daacb610324bc71
legacy,conv-42:11,conv-42,1,What is Joanna allergic to?,"Most reptiles,animals with fur,cockroaches, dairy","reptiles, animals with fur, cockroaches, turtles",0.6666666666666666,stop,2047,2154,14,ca7aa21276943319b91bfeeeb670a484a6089ceb515b05b732c75ea971449da5
legacy,conv-42:24,conv-42,2,When is Nate hosting a gaming party?,"The weekend after 3June, 2022.",19 June 2022,0.2857142857142857,stop,2048,2157,9,737f0097424f04893299d409d6ae1d3a325d6cc4eb56218c8012d0dc79d9aa83
legacy,conv-42:28,conv-42,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",24 June 2022,0.2857142857142857,stop,2031,2148,9,2cbc0f9e3bdb923c66cef32bbec141376c2df51271fe0350a345f7cf8ba697e3
legacy,conv-42:32,conv-42,2,Where did Joanna travel to in July 2022?,Woodhaven,Woodhaven,1.0,stop,2033,2147,3,c208134d5c7b65eb52cd6f3ad1c6579bf1bd5c987481c7a97150645a4ec94bdf
legacy,conv-42:39,conv-42,2,When did Nate attend a cooking show?,"The Monday before 14September, 2022",14 September 2022,0.2857142857142857,stop,2048,2157,9,2f25fa07d882cfcbdb49c1eddfdbc327260752e89fe7f7da2d13b7a0403d9ec8
legacy,conv-42:41,conv-42,2,When did Joanna make a chocolate tart with raspberries?,"5 October, 2022",Unknown,0.0,stop,2039,2151,2,8f6b10d22c051fa6c8ce5433d5bd7f4db527bc799305762ef42fb5edc43ddd5c
legacy,conv-42:49,conv-42,1,How many times has Joanna's scripts been rejected?,Twice,2,0.0,stop,2035,2146,2,4517a8d07de33e5a61a4c9fada1af10534de4738247aa2c234a2e7ee69a86c14
legacy,conv-42:57,conv-42,2,When did Joanna plan to go over to Nate's and share recipes?,"5 November, 2022.",5 November 2022,1.0,stop,2032,2147,8,691a8af89a1cf6006243c7eb97585b8c68fdc60544f8c6cb53c4451e7719ea3c
legacy,conv-42:61,conv-42,1,What mediums does Nate use to play games?,"Gamecube, PC,Playstation.","video games, board games",0.0,stop,2033,2143,6,3a5dbb92953f815769879d56263506dbb23b81fcca6bfe0120e1d4b8394cae59
legacy,conv-42:63,conv-42,1,What video games does Nate play?,"Valorant, Counter Strike:Global Offensive,Xenoblade Chronicles, StreetFighter, Cyberpunk 2077","Counter-Strike: Global Offensive, Cyberpunk 2077, Street Fighter",0.26666666666666666,stop,2033,2141,18,77c629ad60af46bd35faea6a93f646c0ba34ac4dc64b89e734202570e694dc14
legacy,conv-42:66,conv-42,3,What alternative career might Nate consider after gaming?,"an animalkeeper at a localzoo and workingwith turtles; as heknows a great dealabout turtles andhow to care for them,and he enjoys it.",unknown,0.0,stop,2037,2147,2,f12a29be97a40f8a3805afec7739277a563e0f2822fbb9ab42cb088361704c42
legacy,conv-42:78,conv-42,1,How many video game tournaments has Nate participated in?,nine,unknown,0.0,stop,2040,2151,2,fa5a42b3cf7fd45a77d1473e6e326ded10491e0ecf7d3553f11fe9c471df0005
legacy,conv-42:82,conv-42,1,What recipes has Nate made?,"coconut milk icecream, chocolate and vanilla swirl","vegan ice cream recipes, coconut milk ice cream, lactose-free ice cream using coconut milk, dairy-free chocolate cake with berries, chocolate and vanilla swirl ice cream, dairy-free chocolate coconut cupcakes with raspberry frosting",0.6607142857142857,stop,2039,2146,43,c093273a262bc477f080911145b5589a0ced762f0d844ade8ff3f29d5d6d1ec4
legacy,conv-42:85,conv-42,3,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,filmmaker.,unknown,0.0,stop,2028,2148,2,1258614c4e0e7ae70adc28ec72bdbe9499105a0b4438d2a7230fffcfc49bf25c
legacy,conv-42:88,conv-42,4,What is one of Joanna's favorite movies?,"""Eternal Sunshineof the Spotless Mind""",Little Women,0.0,stop,2048,2158,3,8f5260fda096fba926116e277e43b6fb5499deb3d19dbc59ceb0364613ca5d35
legacy,conv-42:94,conv-42,4,What is Joanna's third screenplay about?,"loss, identity, and connection","loss, identity, and connection",1.0,stop,2027,2136,7,59667cb181fe893ff8d0d1277d5735a87ffc98ce1d7f798d065cda86e7185369
legacy,conv-42:95,conv-42,4,What is Nate's favorite video game?,Xenoblade Chronicles,Unknown,0.0,stop,2033,2142,2,051092031ed7df4af4af816f9b048372078c190b1c64e2504381992d2afb491e
legacy,conv-42:98,conv-42,4,What genre is Joanna's first screenplay?,drama and romance,drama and romance,1.0,stop,2045,2154,5,f2352a0f8afe7a546128aec11f84d3e0b5b94d683b8de34aa9ecbbecd9a2b9ef
legacy,conv-42:103,conv-42,4,"What did Joanna recently watch and recommend to Nate on February 7, 2022?","""Little Women""",Little Women,1.0,stop,2047,2168,3,37659afe849a5c9c8028fd2fa49b224de4d338a7d661543243604d998738597f
legacy,conv-42:109,conv-42,4,What was Joanna's audition for?,writing gig,a writing gig,1.0,stop,2047,2155,4,61c6edf1d68fc240d82ff454b555910adfd7576aa8715dd8a132e5511f88193a
legacy,conv-42:110,conv-42,4,Why did Nate choose the hair color he did?,Bright and bold - like him,He wanted to stand out from the regular options.,0.0,stop,2039,2150,11,87f41d58d5bf57d7e81297804cfbd5336e6eedee2b9aa2e06759a41cc53f6e62
legacy,conv-42:115,conv-42,4,What kind of films does Joanna enjoy?,Dramas and emotionally-driven films,"dramas, emotionally-driven films, romcoms",0.8571428571428571,stop,2044,2153,12,8ba07d0815c0576664e30d5f9758a91e593d6e9b535c7b03e5835335e38e0b34
legacy,conv-42:116,conv-42,4,Which activity helps Nate escape and stimulates his imagination?,watching fantasy and sci-fi movies,Playing video games,0.0,stop,2026,2137,4,fd11c3e71981ff9374d90e7541e4cb1b42508012cbabb6c61c97d52dfb3a57d2
legacy,conv-42:125,conv-42,4,Who did Nate plan to invite to his gaming party in June 2022?,"Tournament friends, old friends, teammates","old friends, teammates from other tournaments, tournament friends",0.7692307692307693,stop,2047,2166,11,6f8d6d2c37c61956d0113a0b0245e52cd1adaeea9e02fee279f5c018e707b972
legacy,conv-42:127,conv-42,4,What did Joanna write yesterday that appeared on the big screen?,screenplay bits,bits for a screenplay,0.8,stop,2041,2154,5,1efd8ede4d8f8e5e2370ad8886df94df2f29feabe0c0b84b5210d868362c0467
legacy,conv-42:133,conv-42,4,How many people attended the gaming party hosted by Nate in June 2022?,7,7,1.0,stop,2039,2158,2,5b9cf580be4f444b9b64d597b2e40094e5964ff7ad4980e168c9e69f92bc90e4
legacy,conv-42:155,conv-42,4,What is Nate's favorite dish from the cooking show he hosted?,Coconut milk ice cream,Coconut milk ice cream,1.0,stop,2033,2147,6,67c26c58f5a04d430178ec07bf567affc51d2834670555b2521d44acdac5d7fd
legacy,conv-42:158,conv-42,4,What kind of cake did Joanna share a photo of that she likes making for birthdays and special days?,chocolate cake with raspberries,dairy-free chocolate cake with raspberries,0.8888888888888888,stop,2042,2163,9,d93d78869b57be67ec8d566755e07b0f6a249234f3fdfe058cb0e2d37ee01cf7
legacy,conv-42:172,conv-42,4,How does Nate feel about Joanna's ability to bounce back from setbacks?,respect Joanna for being able to bounce back,He really respects her for it.,0.2857142857142857,stop,2027,2142,8,8d266bedf670cb72a3361d5dea1a6b63237288537c52c7e82d5cb64db3301f91
legacy,conv-42:174,conv-42,4,What does Nate rely on for cheer and joy?,his turtles,turtles,0.6666666666666666,stop,2045,2156,3,3abeeabae92902f3ef9454dd5c978e69e5dc7b3fbc4633eba82dd52c5ae9563a
legacy,conv-42:177,conv-42,4,What inspires Joanna to create drawings of her characters?,visuals to help bring the characters alive in her head so she can write better,to help bring them alive in her head so she can write better,0.8888888888888888,stop,2038,2149,14,ee092b4f024dc14edce6937344aa9a02d226b4fc1a959430acdde6f4ba5cb5ce
legacy,conv-42:183,conv-42,4,"What game is Nate currently playing and recommends to others on November 7, 2022?","""Xenoblade Chronicles""",Xeonoblade Chronicles,0.5,stop,2033,2155,6,dbebe3bad1f2d82d6b472306abb93b887192a895a54c0732e8d864445f3beaaa
legacy,conv-42:184,conv-42,4,What did Joanna receive from her brother that brought back childhood memories?,a handwritten letter,a handwritten letter,1.0,stop,2038,2152,4,cd5134f1d3f362750d165f989a36b19b61f203f6f3dff517aedb1223901c4f95
legacy,conv-42:190,conv-42,4,What new content is Nate creating for YouTube?,Gaming videos,gaming content,0.5,stop,2041,2151,4,2bfc702754fe0d4cc8d8b998be823ff3feafbdd717fe651e57674aea90ba8d8b
legacy,conv-42:193,conv-42,4,What inspired Joanna to take a picture of the sunset in the field near Fort Wayne?,The incredible sunset and surrounding beauty,The sunset and the surrounding beauty,0.8571428571428571,stop,2045,2163,7,92c22eddc28aa17587e8c29d8c1942ce2fccccc070e2d634605585f5ab281735
legacy,conv-42:196,conv-42,4,What did Nate take to the beach in Tampa?,turtles,turtles,1.0,stop,2034,2145,3,5bea72fc433ad00f3637343b7568f3c75517c52a29220400db82bc62e197d57b
legacy,conv-43:5,conv-43,3,"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city?",House of MinaLima,unknown,0.0,stop,2035,2156,2,07a1ea2406abf00a5eaf3afbbc945d419f3427243f921cf67052c928a434fb34
legacy,conv-43:7,conv-43,1,Which geographical locations has Tim been to?,"California, London, the Smoky Mountains","New York City, Galway, Ireland, London, UK",0.3333333333333333,stop,2030,2139,13,7e5daf802bb26b7ff9ac571d48e8cfee5b6c8e632e712fe75dc54af932eaa633
