method,question_id,f1_100,snapshot_note
"gemma_embedding_r40","4baee567","22.22222222222222","old_DEV12"
"gemma_embedding_r40","gpt4_7de946e7","33.33333333333333","old_DEV12"
"gemma_embedding_refined","cc6d1ec1","40","old_DEV12"
"gemma_embedding_refined","157a136e","0","old_DEV12"
"gemma_embedding_refined","e4e14d04","0","old_DEV12"
"gemma_embedding_refined","e6041065","0","old_DEV12"
"gemma_embedding_refined","d6062bb9","28.57142857142857","old_DEV12"
"gemma_embedding_refined","gpt4_b5700ca9","100","old_DEV12"
"gemma_embedding_refined","118b2229","100","old_DEV12"
"gemma_embedding_refined","27016adc","0","old_DEV12"
"gemma_embedding_refined","8cf51dda","63.41463414634146","old_DEV12"
"gemma_embedding_refined","41275add","62.5","old_DEV12"
"gemma_embedding_refined","4baee567","22.22222222222222","old_DEV12"
"gemma_embedding_refined","gpt4_7de946e7","100","old_DEV12"
"minilm_seed","cc6d1ec1","40","old_DEV12"
"minilm_seed","157a136e","100","old_DEV12"
"minilm_seed","e4e14d04","100","old_DEV12"
"minilm_seed","e6041065","100","old_DEV12"
"minilm_seed","d6062bb9","0","old_DEV12"
"minilm_seed","gpt4_b5700ca9","66.66666666666666","old_DEV12"
"minilm_seed","118b2229","100","old_DEV12"
"minilm_seed","27016adc","100","old_DEV12"
"minilm_seed","8cf51dda","63.41463414634146","old_DEV12"
"minilm_seed","41275add","57.14285714285714","old_DEV12"
"minilm_seed","4baee567","22.22222222222222","old_DEV12"
"minilm_seed","gpt4_7de946e7","100","old_DEV12"
"minilm_r40","cc6d1ec1","40","old_DEV12"
"minilm_r40","157a136e","0","old_DEV12"
"minilm_r40","e4e14d04","50","old_DEV12"
"minilm_r40","e6041065","100","old_DEV12"
"minilm_r40","d6062bb9","0","old_DEV12"
"minilm_r40","gpt4_b5700ca9","0","old_DEV12"
"minilm_r40","118b2229","100","old_DEV12"
"minilm_r40","27016adc","0","old_DEV12"
"minilm_r40","8cf51dda","63.41463414634146","old_DEV12"
"minilm_r40","41275add","62.5","old_DEV12"
"minilm_r40","4baee567","22.22222222222222","old_DEV12"
"minilm_r40","gpt4_7de946e7","100","old_DEV12"
"minilm_refined","cc6d1ec1","40","old_DEV12"
"minilm_refined","157a136e","100","old_DEV12"
"minilm_refined","e4e14d04","50","old_DEV12"
"minilm_refined","e6041065","0","old_DEV12"
"minilm_refined","d6062bb9","0","old_DEV12"
"minilm_refined","gpt4_b5700ca9","0","old_DEV12"
"minilm_refined","118b2229","100","old_DEV12"
"minilm_refined","27016adc","0","old_DEV12"
"minilm_refined","8cf51dda","63.41463414634146","old_DEV12"
"minilm_refined","41275add","62.5","old_DEV12"
"minilm_refined","4baee567","22.22222222222222","old_DEV12"
"minilm_refined","gpt4_7de946e7","100","old_DEV12"
"minilm_seed_parent","cc6d1ec1","40","old_DEV12"
"minilm_seed_parent","157a136e","100","old_DEV12"
"minilm_seed_parent","e4e14d04","100","old_DEV12"
"minilm_seed_parent","e6041065","100","old_DEV12"
"minilm_seed_parent","d6062bb9","0","old_DEV12"
"minilm_seed_parent","gpt4_b5700ca9","66.66666666666666","old_DEV12"
"minilm_seed_parent","118b2229","100","old_DEV12"
"minilm_seed_parent","27016adc","100","old_DEV12"
"minilm_seed_parent","8cf51dda","63.41463414634146","old_DEV12"
"minilm_seed_parent","41275add","57.14285714285714","old_DEV12"
"minilm_seed_parent","4baee567","22.22222222222222","old_DEV12"
"minilm_seed_parent","gpt4_7de946e7","100","old_DEV12"
"full_context","cc6d1ec1","1.015228426395939","497-prediction snapshot"
"full_context","157a136e","0","497-prediction snapshot"
"full_context","e4e14d04","11.76470588235294","497-prediction snapshot"
"full_context","e6041065","4.444444444444445","497-prediction snapshot"
"full_context","d6062bb9","2.8169014084507045","497-prediction snapshot"
"full_context","gpt4_b5700ca9","5.633802816901409","497-prediction snapshot"
"full_context","118b2229","6.25","497-prediction snapshot"
"full_context","27016adc","0","497-prediction snapshot"
"full_context","8cf51dda","54.20560747663551","497-prediction snapshot"
"full_context","41275add","53.16455696202531","497-prediction snapshot"
"full_context","4baee567","20.77922077922078","497-prediction snapshot"
"full_context","gpt4_7de946e7","5.333333333333334","497-prediction snapshot"
"langmem","118b2229","0","112-prediction checkpoint; efficiency snapshot is 104 complete"
"simplemem","118b2229","100","52-prediction snapshot"
"lightmem","118b2229","19.047619047619047","111-prediction snapshot"
