configuration,family,description_ko,model,population,n,f1_100,recorded_role,accepted,result_path,result_sha256
"r17_anchored_declarative","사실·QA 카드","서술형 사실에 날짜 정규화 적용.","Qwen/Qwen3-8B","historical_dev70","70","40.34015611653672","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r17_anchored_declarative_dev_items.json","53e782a12b116916293a13dde132878ecc9719b27647ad53ba8554267dfbcbe0"
"r18_declarative_with_pairs","사실·QA 카드","서술형 사실과 2턴 원문 문맥 조합.","Qwen/Qwen3-8B","historical_dev70","70","53.21774435156552","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r18_declarative_with_pairs_dev_items.json","6ee50adb50b712349a63d7b56c65d94e219ed795b6c2985a4c8f157ff3f116a7"
"r19_anchored_four_turn","원문 블록","날짜 정규화와 4턴 원문 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","53.93134104833894","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r19_anchored_four_turn_dev_items.json","778fc8dc11075bf78ea04bb50f8228e97709d4bec79b06d3ac2066bb6e94ae05"
"r20_anchored_three_turn","원문 블록","날짜 정규화와 3턴 원문 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","56.04832274058229","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r20_anchored_three_turn_dev_items.json","86c79672f01ea5abc78c4e9094a0185432ab6b79a561272bf0cb719f51b32247"
"r21_anchored_nonoverlap","원문 블록","날짜 정규화와 비중첩 원문 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","52.01785897489059","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r21_anchored_nonoverlap_dev_items.json","48e2b444f7e8d4152a94c7b55c295f222df1b1617b557a10a00eb61ca1bddc34"
"r22_anchored_fact_raw_pair","원문 블록","날짜 정규화한 사실과 원문 2턴 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","55.05931369074369","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r22_anchored_fact_raw_pair_dev_items.json","1c8e7c3e8ffbdab924de136d282b576af05552200414e9641f56e6d9dcb3011b"
"r23_anchored_fact_raw_four","원문 블록","날짜 정규화한 사실과 원문 4턴 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","51.77194095141252","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r23_anchored_fact_raw_four_dev_items.json","fc6ab9c3544c51592df0fdb2631cc387ba60f6aa497372c0555e3eb633694d02"
"r24_source_qa_cards","사실·QA 카드","벤치마크 대신 원문 대화에서 생성한 질문·답 카드.","Qwen/Qwen3-8B","historical_dev70","70","42.26198767697762","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r24_source_qa_cards_dev_items.json","a2a1629b3f66314b8cf1d8b58de4d05d66a725f44b30b6b5df8568280d9dfd19"
"r25_anchored_qa_cards","사실·QA 카드","원문 질문·답 카드에 날짜 정규화 적용.","Qwen/Qwen3-8B","historical_dev70","70","46.97940894162211","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r25_anchored_qa_cards_dev_items.json","43208cfa57fb56109191b095fa756584668c515386f0814c75f1b4cfaf3d86f1"
"r26_qa_cards_with_context","사실·QA 카드","원문 질문·답 카드와 근거 문맥 조합.","Qwen/Qwen3-8B","historical_dev70","70","49.97754672444096","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r26_qa_cards_with_context_dev_items.json","ea8821bf11aadcb85041977cf3110e346a3fce562073f877a22069ecbd4d2119"
"r27_filtered_three_turn","원문 블록","사교 사실 필터와 3턴 원문 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","53.37998117236232","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r27_filtered_three_turn_dev_items.json","4dd6df074455e6d07d519062417201c3f0ca8e933c25392b076e4a6f87aadde4"
"r28_filtered_fact_anchor","사교 표현 필터","필터링한 사실의 날짜 정규화 조합.","Qwen/Qwen3-8B","historical_dev70","70","54.86440851012433","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r28_filtered_fact_anchor_dev_items.json","f14a6ba5aa71e18d6a31d7bbbde01e422a5a3c836b5dd591773f1df4bffe9e02"
"r29_filtered_four_turn","원문 블록","사교 사실 필터와 4턴 원문 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","54.66712789019331","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r29_filtered_four_turn_dev_items.json","b12b15b4d7ae816782f4d494e307f03d87d1f95bac3cd69ce5323d678386affe"
"r30_filtered_partial_four","원문 블록","필터링과 부분적인 4턴 블록 적용을 결합한 변형. 상세 적용 범위는 보존 이름 이상의 근거 없이 추정하지 않음.","Qwen/Qwen3-8B","historical_dev70","70","51.74415858648466","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r30_filtered_partial_four_dev_items.json","d0e64cc7fd946b1cc7a3ef9091c98835dab21f28dbf484959ff6a4a8792ccada"
"r31_filtered_declarative","사실·QA 카드","필터링한 서술형 사실 표현.","Qwen/Qwen3-8B","historical_dev70","70","51.94690307553744","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r31_filtered_declarative_dev_items.json","3b37a6e95652d3d6442951ccdc22fe9cab0073e98234029a2e80a1df1ef0367a"
"r32_anchored_single_turn","원문 블록","날짜 정규화한 단일 발화 단위.","Qwen/Qwen3-8B","historical_dev70","70","54.855694035486266","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r32_anchored_single_turn_dev_items.json","d07cf4c8e95409274c78842fed9111de8611dc20a1a4312dbb1fc3c9af8c8681"
"r33_filtered_pair_blocks","원문 블록","필터링과 2턴 원문 블록 조합.","Qwen/Qwen3-8B","historical_dev70","70","54.827682388306634","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r33_filtered_pair_blocks_dev_items.json","df2b3f75843f16c0982fcef943eb6843da9e4a24947ef60d1aa6ff2933a7e288"
"r34_anchored_fact_only","원문 블록","날짜 정규화한 사실만 사용하는 대조군.","Qwen/Qwen3-8B","historical_dev70","70","52.14752028646722","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r34_anchored_fact_only_dev_items.json","355441c507b6455bd9e5e51b2526e7c2da648558c49d7a4124c239696b34c402"
"r35_anchored_dialogue_only","원문 블록","날짜 정규화한 원문 대화만 사용하는 대조군.","Qwen/Qwen3-8B","historical_dev70","70","50.67571103309484","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r35_anchored_dialogue_only_dev_items.json","bc8940fe86228b481fc5b088571d72dbca6d11394598f9799c45ba16d7acbbb2"
"r36_selective_anchor_filtered","날짜 처리","필터링한 메모리 중 상대 시간 표현이 있는 단위만 정규화.","Qwen/Qwen3-8B","historical_dev70","70","56.741155421333836","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r36_selective_anchor_filtered_dev_items.json","60d876f0374820cae697931055e780db52f34ae28a861a4e925e0db34551ff1e"
"r37_selective_anchor","날짜 처리","상대 시간 표현이 있는 단위만 선택적으로 정규화.","Qwen/Qwen3-8B","historical_dev70","70","53.972152439067024","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r37_selective_anchor_dev_items.json","6c7a15e277d6db021139fd295312a3e1de0437b6b81206228064c44340ff12c4"
"r38_fused_pair","사실·원문 결합","추출 사실을 출처가 겹치는 원문 2턴 블록에 붙여 함께 검색·읽기.","Qwen/Qwen3-8B","historical_dev70","70","55.95140902514102","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r38_fused_pair_dev_items.json","93f76247c562d615310013904b8223351e24a1e3da2038928b4329eef6d3bd4f"
"r39_fused_three_turn","사실·원문 결합","사실과 원문 3턴 블록을 하나의 메모리 단위로 결합.","Qwen/Qwen3-8B","historical_dev70","70","53.24197059273202","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r39_fused_three_turn_dev_items.json","941a58c9ce13c14038bcd5187edab7659c0751a2e6171b635c7e70d996d6ec51"
"r40_fused_four_turn","사실·원문 결합","사실과 원문 4턴/2턴 중첩 블록을 결합하고 날짜 정보를 유지. 채택된 r40.","Qwen/Qwen3-8B","historical_dev70","70","58.620301618490544","개선 채택","true","/workspace/locomo-refinement/runs/continuous_v3/r40_fused_four_turn_dev_items.json","6dff679c6d3058c1db2dbd02b80c212c1a809d563a618ee38762bd53551c1a90"
"r41_fused_with_fact_index","사실·원문 결합","결합 메모리에 별도 사실 인덱스도 보존.","Qwen/Qwen3-8B","historical_dev70","70","53.77331563631873","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r41_fused_with_fact_index_dev_items.json","33a611843d24311189d266817ed7291f9c17d16357c3df76755ed41f4349d555"
"r42_clean_source_cards","사실·QA 카드","구조화 카드의 중복·질문·빈 사교 표현을 정리.","Qwen/Qwen3-8B","historical_dev70","70","41.184030133063516","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r42_clean_source_cards_dev_items.json","9d1be216e4a35e702281727df0cbae6cdfd0faad566d69ad5b61717dc1dd04fe"
"r43_clean_anchored_cards","사실·QA 카드","정리한 카드에 날짜 정규화 적용.","Qwen/Qwen3-8B","historical_dev70","70","44.946303817102134","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r43_clean_anchored_cards_dev_items.json","7b23c2d0ecfc8aa9a151e993fe6c338bef0960f00de6cb951191dde8f0dbdec4"
"r44_clean_cards_with_context","사실·QA 카드","정리한 카드와 원문 문맥 조합.","Qwen/Qwen3-8B","historical_dev70","70","55.395536359556694","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r44_clean_cards_with_context_dev_items.json","1dcee3990f461c3bbab8e0fd885794d574d6821dadd4320e8d710a75d7408db8"
"r45_entity_profiles","인물 프로필","인물별·주제별로 여러 발화의 사실을 모은 프로필 추가.","Qwen/Qwen3-8B","historical_dev70","70","54.50541718198407","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r45_entity_profiles_dev_items.json","0a7f8e4b55281ad527a9c98b096aa57a789bf2e91eb892fbf7d117f38aaae276"
"r46_entity_profiles_only","인물 프로필","프로필만 남기는 대조군.","Qwen/Qwen3-8B","historical_dev70","70","7.839049215269268","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r46_entity_profiles_only_dev_items.json","aa994e9eea726afff481c0ec166c6fb6d24a844c9323f0b4db74419e55987c05"
"r47_profiles_with_context","인물 프로필","인물 프로필과 원문 문맥 조합.","Qwen/Qwen3-8B","historical_dev70","70","47.515741324000224","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r47_profiles_with_context_dev_items.json","78021ff7d68371f0c2140a94166aeb3d8bd4ba9f9fd08b6925dbb6e2e98572bf"
"r48_salient_dialogue","중요 발화 선택","LLM으로 정보 없는 인사·감사 등을 골라 제외하고 중요한 발화와 사실 유지.","Qwen/Qwen3-8B","historical_dev70","70","58.14040777972295","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r48_salient_dialogue_dev_items.json","20f6150d8646ac76e39bf3eaed4a7817da582150b99184b8ffd0d087569dba75"
"r49_salient_dialogue_only","중요 발화 선택","중요 발화만 남기고 별도 추출 사실은 제외하는 대조군.","Qwen/Qwen3-8B","historical_dev70","70","45.44015514582153","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r49_salient_dialogue_only_dev_items.json","89819e410e4a90c765fa2a4ae4e541e3ddff50d8c20752370d3554f4976b21f7"
"r50_salient_longer_context","중요 발화 선택","중요 발화에 더 긴 앞 문맥을 결합.","Qwen/Qwen3-8B","historical_dev70","70","57.398978513063284","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r50_salient_longer_context_dev_items.json","45f562d83ef3c50f64bcaac33f3b1098d395b933dc7079720842b06dc43d97ae"
"r50a_fused_five_turn","사실·원문 결합","사실과 원문 5턴 블록 결합.","Qwen/Qwen3-8B","historical_dev70","70","56.32449583760978","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r50a_fused_five_turn_dev_items.json","943cf50039bd104b2d0dc6da9bdd50062281f43168da202a64792da833eadbfa"
"r50b_fused_six_turn","사실·원문 결합","사실과 원문 6턴 블록 결합.","Qwen/Qwen3-8B","historical_dev70","70","52.9559710404538","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r50b_fused_six_turn_dev_items.json","f77aa65d045e335e148ac5d035945a9ccbadcc79d1e7d983b8a7fc3e25cef978"
"r50c_fused_stride_one","사실·원문 결합","블록 시작을 1턴씩 이동시키는 결합 변형.","Qwen/Qwen3-8B","historical_dev70","70","54.31121947747564","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r50c_fused_stride_one_dev_items.json","73f8690c5915d1cec7f6b96eaa0e50ed4ff1af980104d85a174e601b3ac3c3cd"
"r51_replay_reference","재현 확인","r12를 변경 없이 재평가. 신규 후보 126개 집계에서 제외.","Qwen/Qwen3-8B","historical_dev70","70","57.11886887725268","재현 확인","false","/workspace/locomo-refinement/runs/continuous_v3/r51_replay_reference_dev_items.json","0a235f130c920c12007258694971fbe7a37c5d6326f7e290b63411f0a88b85cc"
"r52_replay_seed","재현 확인","Seed를 변경 없이 재평가. 신규 후보 126개 집계에서 제외.","Qwen/Qwen3-8B","historical_dev70","70","52.7942778998271","재현 확인","false","/workspace/locomo-refinement/runs/continuous_v3/r52_replay_seed_dev_items.json","5c364786507c5589b9f2b3812883be927a9bcab66fe20bc5bad9079a6f2526cd"
"m01_fused_without_rules","검색키·본문 분리/규칙 제거","Seed에 4턴/2턴 중첩 결합을 적용하되 추가 날짜·사교 필터 규칙 없이 구성.","Qwen/Qwen3-8B","historical_dev70","70","46.91930880254609","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/m01_fused_without_rules_dev_items.json","5a0cbc36167a09cb862e1d3ccf1d704ddcd0eb3f856f4c32950955f6dd80d50c"
"m02_split_without_rules","검색키·본문 분리/규칙 제거","m01의 사실 요약은 검색키로, 원문은 읽기 본문으로 분리.","Qwen/Qwen3-8B","historical_dev70","70","46.360705382931826","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/m02_split_without_rules_dev_items.json","ec689677b20a870ad64c2e3631a9d9ddb7f96ecbe7f28119babe437f43bd187f"
"m03_key_only_intervention","검색키·본문 분리/규칙 제거","m01의 읽기 본문은 유지하고 검색키만 사실 요약으로 변경.","Qwen/Qwen3-8B","historical_dev70","70","45.85902988681856","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/m03_key_only_intervention_dev_items.json","5b3c75077beb827ccd189b882656fa25eca656709469bacd2101262bba13889d"
"m04_index_without_rules","검색키·본문 분리/규칙 제거","Seed의 사실을 검색키로, 해당 원문을 본문으로 연결하되 추가 날짜 정규화 없음.","Qwen/Qwen3-8B","historical_dev70","70","49.1908878782354","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/m04_index_without_rules_dev_items.json","7aa861755a9ad77a39fd2c88b98196cce9c6535eff8b9ea10d139ba9cbf934ec"
"r67_split_best_fused","검색키·본문 분리/규칙 제거","최고 결합 메모리를 사실 검색키와 원문 읽기 본문으로 분리.","Qwen/Qwen3-8B","historical_dev70","70","46.94593624190698","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r67_split_best_fused_dev_items.json","2e905603e6bd015411f1b96f469fa3d44f84b5099e43ceb414917bde1147af73"
"r68_fused_key_both_payload","검색키·본문 분리/규칙 제거","결합 메모리의 검색키와 사실·원문 본문 구성을 비교하는 변형.","Qwen/Qwen3-8B","historical_dev70","70","48.197618887334414","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r68_fused_key_both_payload_dev_items.json","b2edced8716ad7ccfb2bc9b44dff40c6bbb246cd06affb25ee7021f139f75cfc"
"r53_fact_index_source_payload","검색키·본문 분리/규칙 제거","사실을 검색키로 사용하고 대응 원문을 읽기 본문으로 제공.","Qwen/Qwen3-8B","historical_dev70","70","48.13481542806348","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r53_fact_index_source_payload_dev_items.json","e01dfbe23670c9a8c62f0515179b7e7c6a5dec2b6a99d22d5bcf6096bffb35ac"
"r57_indexed_summary_and_source","검색키·본문 분리/규칙 제거","검색키와 분리된 읽기 본문에 요약과 원문을 함께 제공.","Qwen/Qwen3-8B","historical_dev70","70","52.877953703583955","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r57_indexed_summary_and_source_dev_items.json","8dad3fe30531d755671daac1092c8884acbdfe96d43732fc0f351e43cbe747e6"
"r58_indexed_source_control","검색키·본문 분리/규칙 제거","원문 인덱싱을 비교하는 대조군.","Qwen/Qwen3-8B","historical_dev70","70","54.391230867034466","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r58_indexed_source_control_dev_items.json","eb58bc4bd0b74ff7fb6a2789536e398edaf882b2bbc26853c1a6d096e78dc262"
"r59_indexed_without_residual","검색키·본문 분리/규칙 제거","인덱싱에서 사실로 연결되지 않은 원문 잔여 블록을 제외.","Qwen/Qwen3-8B","historical_dev70","70","46.306257162632846","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r59_indexed_without_residual_dev_items.json","be314af24dc33f41566ec1f55d071a40dcd2938f1d3352127317604b4ac2d0a2"
"b00_raw","근거 예산 배분","원문 메모리 대조군.","Qwen/Qwen3-8B","historical_dev70","70","45.96703013030443","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b00_raw_dev_items.json","90a14e8a059a72e4e965b54e3252ddd838db8063bd39f2fb6284893a621bac39"
"b_full_125","근거 예산 배분","전체 근거 후보만; 원문 저장량 1.25배 상한.","Qwen/Qwen3-8B","historical_dev70","70","45.468762354230336","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_full_125_dev_items.json","a0e694806a4a8286951eb9d2c76c24a69834100fe426b6e9d30e0397f5b9b5f3"
"b_single_125","근거 예산 배분","단일+전체 근거 후보; 원문 저장량 1.25배 상한.","Qwen/Qwen3-8B","historical_dev70","70","46.51141318998462","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_single_125_dev_items.json","12b92ff12a9ad37bd6d2b6111059f1a20b6a964ac2bd2b76841c59d582c96b87"
"b_joint_125","근거 예산 배분","단일+쌍+전체 근거 후보; 원문 저장량 1.25배 상한.","Qwen/Qwen3-8B","historical_dev70","70","47.81510389703667","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_joint_125_dev_items.json","efb6da984e1dcc3776ce3c76bab8e2e80835a06c293a6bcaa18fb34e489f9860"
"b_single_verified_125","근거 예산 배분","단일+전체 근거 후보; 원문 저장량 1.25배 상한. 같은 모델의 답 의미·인물·시간·조건 보존 검증 추가.","Qwen/Qwen3-8B","historical_dev70","70","46.51141318998462","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_single_verified_125_dev_items.json","0cd0e3f0cf9bac3c16c10f0cdecd812330cda06a58a32f91693c152bb8ff5d91"
"b_joint_verified_125","근거 예산 배분","단일+쌍+전체 근거 후보; 원문 저장량 1.25배 상한. 같은 모델의 답 의미·인물·시간·조건 보존 검증 추가.","Qwen/Qwen3-8B","historical_dev70","70","47.888363970296744","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_joint_verified_125_dev_items.json","86fdc1f2401701254be10c9b1eb3e232eb5361f7f388812fad494924c7e16fa7"
"b_full_150","근거 예산 배분","전체 근거 후보만; 원문 저장량 1.5배 상한.","Qwen/Qwen3-8B","historical_dev70","70","45.468762354230336","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_full_150_dev_items.json","6eda3d9d7d88d11575394ee505830b62137b4554d484fca9bdecee1ec03d6382"
"b_single_150","근거 예산 배분","단일+전체 근거 후보; 원문 저장량 1.5배 상한.","Qwen/Qwen3-8B","historical_dev70","70","46.51141318998462","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_single_150_dev_items.json","46b2308f63b86b2231f32686ac144546c684da413e0e47a6cda2fe7e8ec61ae7"
"b_joint_150","근거 예산 배분","단일+쌍+전체 근거 후보; 원문 저장량 1.5배 상한.","Qwen/Qwen3-8B","historical_dev70","70","47.81510389703667","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_joint_150_dev_items.json","d19cd702a1ec451d8fcf43492880799327fab449f7c4897a46f07d0656253dc3"
"b_single_verified_150","근거 예산 배분","단일+전체 근거 후보; 원문 저장량 1.5배 상한. 같은 모델의 답 의미·인물·시간·조건 보존 검증 추가.","Qwen/Qwen3-8B","historical_dev70","70","46.51141318998462","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_single_verified_150_dev_items.json","6b3442f66c12223ccd035c42c84375c50ef2fb2dcc07616929396749857b1f8e"
"b_joint_verified_150","근거 예산 배분","단일+쌍+전체 근거 후보; 원문 저장량 1.5배 상한. 같은 모델의 답 의미·인물·시간·조건 보존 검증 추가.","Qwen/Qwen3-8B","historical_dev70","70","47.888363970296744","미채택","false","/workspace/locomo-refinement/runs/budgeted_evidence_v1/b_joint_verified_150_dev_items.json","0bdc23ca0b2bb165f86fcb02a9c2a5ea12ed17d5ee1155a1f2f71df8e4264765"
"s_raw_single_2000","부모 근거 추가","원문 부분집합를 본문으로, 원문 질문을 검색키로 추가. 단일+전체 근거 후보; 추가 2000토큰.","Qwen/Qwen3-8B","historical_dev70","70","57.52157444174251","미채택","false","/workspace/locomo-refinement/runs/parent_evidence_v1/s_raw_single_2000_dev_items.json","57e2844c7980eaca8cd9a5d895ee963dc697f9d655d7b2baa73429ab7f6a3f14"
"s_raw_joint_2000","부모 근거 추가","원문 부분집합를 본문으로, 원문 질문을 검색키로 추가. 단일+쌍+전체 근거 후보; 추가 2000토큰.","Qwen/Qwen3-8B","historical_dev70","70","55.714696134864205","미채택","false","/workspace/locomo-refinement/runs/parent_evidence_v1/s_raw_joint_2000_dev_items.json","3486939c1af7cae1e1f89a83ac8a20da0a957c0b685fc69786d1f7c1e4f69309"
